Typ;Nr;Artikelnr;Artikelbez 1;Plangrp;Sollmenge;Istmenge;Kst Id;Beginn;Ende;
20;18553;693321;BIOPLAST 300;70/4+5+9;22000;22000;MS06;13.07.2022 00:00:00;13.07.2022 00:00:00;
20;18553;693321;BIOPLAST 300;70/4+5+9;22000;22000;ZSK 70/4;13.07.2022 00:00:00;13.07.2022 00:00:00;
20;18553;693321;BIOPLAST 300;70/4+5+9;22000;22000;ZSK 70/5;13.07.2022 00:00:00;13.07.2022 00:00:00;
20;18553;693321;BIOPLAST 300;70/4+5+9;22000;22000;ZSK 70/9;13.07.2022 00:00:00;13.07.2022 00:00:00;
20;18553;693321;BIOPLAST 300;70/4+5+9;22000;-22000;MS06;13.07.2022 00:00:00;13.07.2022 00:00:00;
20;18553;693321;BIOPLAST 300;70/4+5+9;22000;-22000;ZSK 70/4;13.07.2022 00:00:00;13.07.2022 00:00:00;
20;18553;693321;BIOPLAST 300;70/4+5+9;22000;-22000;ZSK 70/5;13.07.2022 00:00:00;13.07.2022 00:00:00;
20;18553;693321;BIOPLAST 300;70/4+5+9;22000;-22000;ZSK 70/9;13.07.2022 00:00:00;13.07.2022 00:00:00;
