Typ;Nr;Artikelnr;Artikelbez 1;Plangrp;Sollmenge;Istmenge;Kst Id;Beginn;Ende;
20;20639;234421;AONILEX PHBH HF;70/1;5600;1750;ZSK 70/1;24.04.2023 12:45:00;24.04.2023 17:00:00;
20;20639;234421;AONILEX PHBH HF;70/1;5600;0;ZSK 70/1;24.04.2023 00:00:00;24.04.2023 00:00:00;
20;20639;234421;AONILEX PHBH HF;70/1;5600;0;DIREKT 2;24.04.2023 00:00:00;24.04.2023 00:00:00;
20;20639;234421;AONILEX PHBH HF;70/1;5600;-1750;ZSK 70/1;24.04.2023 12:45:00;24.04.2023 17:00:00;
20;20639;234421;AONILEX PHBH HF;70/1;5600;1750;ZSK 70/1;24.04.2023 12:45:00;24.04.2023 17:00:00;
