Typ;Nr;Artikelnr;Artikelbez 1;Plangrp;Sollmenge;Istmenge;Kst Id;Beginn;Ende;
20;19561;234421;AONILEX PHBH HF;70/1;13728;13600;ZSK 70/1;19.10.2022 12:00:00;21.10.2022 08:45:00;
20;19561;234421;AONILEX PHBH HF;70/1;13728;0;ZSK 70/1;22.10.2022 00:00:00;22.10.2022 00:00:00;
20;19561;234421;AONILEX PHBH HF;70/1;13728;0;DIREKT 2;22.10.2022 00:00:00;22.10.2022 00:00:00;
20;19561;234421;AONILEX PHBH HF;70/1;13728;128;ZSK 70/1;21.10.2022 00:00:00;21.10.2022 00:00:00;
20;19561;234421;AONILEX PHBH HF;70/1;13728;128;DIREKT 2;21.10.2022 00:00:00;21.10.2022 00:00:00;
