Typ;Nr;Artikelnr;Artikelbez 1;Plangrp;Sollmenge;Istmenge;Kst Id;Beginn;Ende;
20;18774;999999;BIOPLAST EXP;70/7+10;22000;-7000;MS02;23.05.2022 00:00:00;23.05.2022 00:00:00;
20;18774;999999;BIOPLAST EXP;70/7+10;22000;-7000;ZSK 70/7;23.05.2022 00:00:00;23.05.2022 00:00:00;
20;18774;999999;BIOPLAST EXP;70/7+10;22000;15000;ZSK 70/7;16.05.2022 10:00:00;17.05.2022 13:30:00;
20;18774;999999;BIOPLAST EXP;70/7+10;22000;7000;ZSK 70/7;16.05.2022 10:00:00;17.05.2022 13:30:00;
20;18774;999999;BIOPLAST EXP;70/7+10;22000;7000;ZSK 70/10;16.05.2022 10:00:00;17.05.2022 13:30:00;
20;18774;999999;BIOPLAST EXP;70/7+10;22000;7000;MS02;16.05.2022 10:00:00;17.05.2022 13:30:00;
