,Produktname,Line,Charge,Uhrzeit,L,a,b,YI,Beginn,Ende,current_time,Stamp,Temperatures_Reg02_Sps_Istwert,Temperatures_Reg03_Sps_Istwert,Temperatures_Reg04_Sps_Istwert,Temperatures_Reg05_Sps_Istwert,Temperatures_Reg06_Sps_Istwert,Temperatures_Reg07_Sps_Istwert,Temperatures_Reg08_Sps_Istwert,Temperatures_Reg09_Sps_Istwert,Temperatures_Reg10_Sps_Istwert,Temperatures_Reg11_Sps_Istwert,Temperatures_Reg12_Sps_Istwert,Temperatures_Reg02_Pc_Sollwert,Temperatures_Reg03_Pc_Sollwert,Temperatures_Reg04_Pc_Sollwert,Temperatures_Reg05_Pc_Sollwert,Temperatures_Reg06_Pc_Sollwert,Temperatures_Reg07_Pc_Sollwert,Temperatures_Reg08_Pc_Sollwert,Temperatures_Reg09_Pc_Sollwert,Temperatures_Reg10_Pc_Sollwert,Temperatures_Reg11_Pc_Sollwert,Temperatures_Reg12_Pc_Sollwert,Feeder_DosSum_Sps_Durchsatz_Istwert,Feeder_DosSum_Pc_Durchsatz_Sollwert,Feeder_Dos01_Sps_Durchsatz_Istwert,Feeder_Dos02_Sps_Durchsatz_Istwert,Feeder_Dos03_Sps_Durchsatz_Istwert,Feeder_Dos04_Sps_Durchsatz_Istwert,Feeder_Dos05_Sps_Durchsatz_Istwert,Feeder_Dos06_Sps_Durchsatz_Istwert,Feeder_Dos07_Sps_Durchsatz_Istwert,Feeder_Dos08_Sps_Durchsatz_Istwert,Feeder_Dos01_Pc_Durchsatz_Sollwert,Feeder_Dos02_Pc_Durchsatz_Sollwert,Feeder_Dos03_Pc_Durchsatz_Sollwert,Feeder_Dos04_Pc_Durchsatz_Sollwert,Feeder_Dos05_Pc_Durchsatz_Sollwert,Feeder_Dos06_Pc_Durchsatz_Sollwert,Feeder_Dos07_Pc_Durchsatz_Sollwert,Feeder_Dos08_Pc_Durchsatz_Sollwert,Misc_Hat_Sps_Drehzahl_Istwert,Misc_Hat_Pc_Drehzahl_Sollwert,Misc_Hat_Sps_Drehmoment_Istwert,Temperatures_AE_Materialtemperatur01,Temperatures_AE_Materialtemperatur02,Misc_Mtd01_Sps_Istwert,Feeder_Dos01_Sps_MotorStellwert,Feeder_Dos02_Sps_MotorStellwert,Feeder_Dos03_Sps_MotorStellwert,Feeder_Dos04_Sps_MotorStellwert,Feeder_Dos05_Sps_MotorStellwert,Feeder_Dos06_Sps_MotorStellwert,Feeder_Dos07_Sps_MotorStellwert,Feeder_Dos08_Sps_MotorStellwert,Feeder_Dos01_Sps_Dosierfaktor,Feeder_Dos02_Sps_Dosierfaktor,Feeder_Dos03_Sps_Dosierfaktor,Feeder_Dos04_Sps_Dosierfaktor,Feeder_Dos05_Sps_Dosierfaktor,Feeder_Dos06_Sps_Dosierfaktor,Feeder_Dos07_Sps_Dosierfaktor,Feeder_Dos08_Sps_Dosierfaktor,Feeder_Dos01_Sps_MotorDrehzahl,Feeder_Dos02_Sps_MotorDrehzahl,Feeder_Dos03_Sps_MotorDrehzahl,Feeder_Dos04_Sps_MotorDrehzahl,Feeder_Dos05_Sps_MotorDrehzahl,Feeder_Dos06_Sps_MotorDrehzahl,Feeder_Dos07_Sps_MotorDrehzahl,Feeder_Dos08_Sps_MotorDrehzahl,Feeder_Dos01_Sps_Nettogewicht,Feeder_Dos02_Sps_Nettogewicht,Feeder_Dos03_Sps_Nettogewicht,Feeder_Dos04_Sps_Nettogewicht,Feeder_Dos05_Sps_Nettogewicht,Feeder_Dos06_Sps_Nettogewicht,Feeder_Dos07_Sps_Nettogewicht,Feeder_Dos08_Sps_Nettogewicht
12,BP 110/02 (717221),ZSK 70.4,22010667,6:00,76.05,3.78,22.63,49.16,09.09.2022 04:15:00,09.09.2022 19:10:00,2022-09-09 06:00:00,2022-09-09 06:00:50,184.8,185.6,169.7,145.0,144.9,145.3,164.9,155.5,100.0,166.0,149.5,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,145.0,800.2998046875,800.000061035156,480.799987792969,0.0,309.776123046875,6.40000057220459,0.0,3.1950855255127,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000057220459,0.0,3.20000028610229,0.0,0.0,360.1,360.0,72.6,28.6,214.7,5.3,71.9199981689453,0.0,48.6999969482422,6.57999992370606,0.0,31.4799995422363,0.0,0.0,677.661987304688,586.84375,631.468017578125,93.8986511230469,34.3746032714844,10.0500774383545,250.0,96.193359375,2157.0,0.0,1461.0,200.0,0.0,932.0,0.0,0.0,53.6180953979492,47.9532165527344,55.2255249023438,19.2089385986328,14.9084739685059,9.48151016235352,0.0,0.0
13,BP 110/02 (717221),ZSK 70.5,22010667,6:00,75.67,4.02,22.76,49.8,09.09.2022 04:15:00,09.09.2022 19:10:00,2022-09-09 06:00:00,2022-09-09 06:00:50,185.1,184.5,169.5,144.2,144.9,145.7,189.5,161.4,100.0,173.5,155.4,185.0,185.0,170.0,145.0,145.0,145.0,165.0,157.0,100.0,150.0,140.0,799.345947265625,800.000061035156,480.720275878906,0.0,309.475280761719,6.40026760101318,0.0,3.17382097244263,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000009536743,0.0,3.20000004768372,0.0,0.0,358.5,360.0,75.4,201.9,173.2,3.7,65.5,0.0,53.5599975585938,8.42000007629395,0.0,12.9799995422363,0.0,0.0,734.207763671875,430.10205078125,579.460815429688,75.3415222167969,28.028263092041,25.4143295288086,94.3487854003906,65.5418090820313,1963.0,0.0,1610.0,522.0,0.0,384.0,0.0,0.0,45.6820373535156,1.24380111694336,48.4727478027344,20.9291687011719,42.4734802246094,9.1608772277832,0.0,0.0
14,BP 110/02 (717221),ZSK 70.4,22010666,18:00,75.29,4.28,24.17,52.63,08.09.2022 13:25:00,09.09.2022 04:15:00,2022-09-08 18:00:00,2022-09-08 18:00:47,185.0,184.7,170.2,144.7,145.0,145.2,165.3,155.0,99.9,168.9,151.9,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,145.0,799.635009765625,800.000061035156,480.63232421875,0.0,309.322204589844,6.39013576507568,0.0,3.20283794403076,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000057220459,0.0,3.20000028610229,0.0,0.0,359.3,360.0,72.8,32.9,215.2,5.0,72.3199920654297,0.0,49.7200012207031,6.76000022888184,0.0,32.5,0.0,0.0,669.348266601563,586.84375,616.464599609375,93.8209686279297,34.3746032714844,9.7818546295166,250.0,96.193359375,2169.0,0.0,1488.0,202.0,0.0,969.0,0.0,0.0,42.4528503417969,47.867546081543,49.8198699951172,12.0817070007324,15.2820892333984,5.98994255065918,0.0,0.0
15,BP 110/02 (717221),ZSK 70.5,22010666,18:00,74.7,4.56,23.44,51.94,08.09.2022 13:25:00,09.09.2022 04:15:00,2022-09-08 18:00:00,2022-09-08 18:00:54,185.3,184.6,170.5,145.2,144.9,144.7,190.7,162.2,99.9,174.5,156.5,185.0,185.0,170.0,145.0,145.0,145.0,165.0,157.0,100.0,150.0,140.0,799.891540527344,800.000061035156,480.679504394531,0.0,309.599975585937,6.40709209442139,0.0,3.20496034622192,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000009536743,0.0,3.20000004768372,0.0,0.0,358.1,360.0,76.3,201.1,174.1,4.0,65.5199890136719,0.0,54.3399963378906,8.5,0.0,12.5,0.0,0.0,733.576293945313,430.10205078125,567.776245117188,75.5118255615234,28.028263092041,25.5285491943359,94.3487854003906,65.5418090820313,1964.0,0.0,1629.0,527.0,0.0,378.0,0.0,0.0,42.8064117431641,1.7281494140625,61.6210327148437,14.8064498901367,42.7801208496094,5.83170127868652,0.0,0.0
16,BP 110/02 (717221),ZSK 70.5,22010667,18:00,75.17,4.21,22.39,49.57,09.09.2022 04:15:00,09.09.2022 19:10:00,2022-09-09 18:00:00,2022-09-09 18:01:00,185.1,184.6,170.2,145.7,145.0,145.6,193.1,163.9,99.9,174.5,157.0,185.0,185.0,170.0,145.0,145.0,145.0,165.0,157.0,100.0,150.0,140.0,799.570129394531,800.000061035156,480.902221679688,0.0,309.07470703125,6.3989782333374,0.0,3.19424295425415,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000009536743,0.0,3.20000004768372,0.0,0.0,357.9,360.0,75.5,201.7,173.8,3.6,65.4799957275391,0.0,53.4399948120117,8.53999900817871,0.0,12.4599990844727,0.0,0.0,733.798583984375,430.10205078125,585.609741210938,75.0542755126953,28.028263092041,25.73486328125,94.3487854003906,65.5418090820313,1964.0,0.0,1596.0,532.0,0.0,374.0,0.0,0.0,44.9677124023438,1.39245223999023,48.2042846679687,20.9462127685547,42.3327407836914,9.84142684936523,0.0,0.0
17,BP 110/02 (717221),ZSK 70.4,22010667,18:00,76.63,3.43,21.09,45.92,09.09.2022 04:15:00,09.09.2022 19:10:00,2022-09-09 18:00:00,2022-09-09 18:00:50,184.0,184.6,170.5,144.9,144.9,145.5,165.4,155.7,100.1,168.6,151.9,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,145.0,800.013977050781,800.000061035156,480.162536621094,0.0,309.761901855469,6.39760684967041,0.0,3.22017049789429,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000057220459,0.0,3.20000028610229,0.0,0.0,359.7,360.0,72.3,32.4,216.4,5.1,68.3799896240234,0.0,48.5199966430664,6.80000019073486,0.0,31.7399978637695,0.0,0.0,695.09716796875,586.84375,639.456420898437,93.5821838378906,34.3746032714844,9.98552322387695,250.0,96.193359375,2042.0,0.0,1453.0,204.0,0.0,942.0,0.0,0.0,49.9281387329101,47.8870849609375,48.5867614746094,18.5363693237305,14.8393745422363,9.74983787536621,0.0,0.0
18,BP 110/02 (717221),ZSK 70.4,22010668,9:15,76.28,3.45,22.19,48.0,12.09.2022 07:00:00,12.09.2022 22:40:00,2022-09-12 09:15:00,2022-09-12 09:15:54,184.7,186.0,170.3,145.0,145.3,144.8,165.1,154.8,100.0,169.0,151.8,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,145.0,799.984680175781,800.000061035156,480.67333984375,0.0,309.725952148437,6.39778995513916,0.0,3.20084381103516,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000057220459,0.0,3.20000028610229,0.0,0.0,360.1,360.0,70.4,30.6,215.0,5.2,69.1600036621094,0.0,48.3199996948242,6.53999996185303,0.0,20.7399978637695,0.0,0.0,686.327758789063,586.84375,646.689331054688,97.8577270507812,34.3746032714844,15.5649185180664,250.0,96.193359375,2071.0,0.0,1448.0,195.0,0.0,620.0,0.0,0.0,52.3327255249024,47.8819732666016,44.9148559570313,14.6598358154297,14.4981155395508,7.94962692260742,0.0,0.0
19,BP 110/02 (717221),ZSK 70.4,22010669,6:00,75.45,3.99,22.96,50.22,12.09.2022 22:40:00,13.09.2022 13:50:00,2022-09-13 06:00:00,2022-09-13 06:00:56,184.3,185.9,170.9,145.0,145.0,144.3,164.9,154.2,100.0,170.0,153.0,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,145.0,799.038879394531,800.000061035156,479.855529785156,0.0,309.599975585937,6.38179683685303,0.0,3.20159721374512,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000057220459,0.0,3.20000028610229,0.0,0.0,358.8,360.0,74.8,31.4,215.7,5.1,70.2599945068359,0.0,53.2999954223633,6.55999946594238,0.0,26.1599998474121,0.0,0.0,687.083374023438,586.84375,584.3828125,97.8526916503906,34.3746032714844,12.3813343048096,250.0,96.193359375,2109.0,0.0,1598.0,195.0,0.0,787.0,0.0,0.0,49.3876113891602,47.871452331543,60.2548675537109,18.6667709350586,14.2923316955566,8.62040901184082,0.0,0.0
20,BP 110/02 (717221),ZSK 70.5,22010669,6:00,74.19,4.64,22.79,51.16,12.09.2022 22:40:00,13.09.2022 13:50:00,2022-09-13 06:00:00,2022-09-13 06:00:58,184.7,184.8,170.8,145.0,145.0,145.9,187.9,159.9,100.0,173.4,155.5,185.0,185.0,170.0,145.0,145.0,145.0,165.0,157.0,100.0,150.0,140.0,800.704040527344,800.000061035156,480.845031738281,0.0,310.271789550781,6.39246559143066,0.0,3.19478416442871,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000009536743,0.0,3.20000004768372,0.0,0.0,359.0,360.0,75.7,200.8,173.2,3.9,65.2599945068359,0.0,57.0999984741211,8.55999946594238,0.0,12.4599990844727,0.0,0.0,737.5341796875,430.10205078125,544.342651367188,75.2128143310547,28.028263092041,25.545337677002,94.3487854003906,65.5418090820313,1958.0,0.0,1715.0,525.0,0.0,373.0,0.0,0.0,44.2399063110352,1.47375106811523,56.2770690917969,20.4621429443359,41.7788543701172,9.31920051574707,0.0,0.0
21,BP 110/02 (717221),ZSK 70.4,22010668,18:00,74.96,3.87,21.66,48.08,12.09.2022 07:00:00,12.09.2022 22:40:00,2022-09-12 18:00:00,2022-09-12 18:00:48,184.8,185.4,169.6,145.0,145.0,145.3,164.9,154.4,100.0,169.7,153.3,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,145.0,800.723571777344,800.000061035156,481.498352050781,0.0,309.599975585937,6.40322971343994,0.0,3.20201253890991,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000057220459,0.0,3.20000028610229,0.0,0.0,358.8,360.0,74.4,37.1,213.9,5.0,67.8000030517578,0.0,54.1599960327148,6.69999980926514,0.0,25.0599975585938,0.0,0.0,696.189697265625,586.84375,579.27685546875,96.7944793701172,34.3746032714844,12.873067855835,250.0,96.193359375,2033.0,0.0,1623.0,201.0,0.0,751.0,0.0,0.0,42.7060623168945,47.8230590820313,61.4861602783203,18.7135009765625,14.578857421875,9.55417633056641,0.0,0.0
