,Produktname,Line,Charge,Uhrzeit,L,a,b,YI,Beginn,Ende,current_time
56,BP 110/02 (717221),ZSK 70.8,22010361,18:00,72.44,5.19,24.0,54.68,16.05.2022 17:30:00,17.05.2022 21:00:00,2022-05-16 18:00:00
57,BP 110/02 (717221),ZSK 70.8,22010362,18:00,74.33,4.27,23.13,51.32,17.05.2022 21:00:00,18.05.2022 18:30:00,2022-05-18 18:00:00
58,BP 110/02 (717221),ZSK 70.8,22010362,18:00,74.82,4.16,22.63,50.11,17.05.2022 21:00:00,18.05.2022 18:30:00,2022-05-18 18:00:00
59,BP 110/02 (717221),ZSK 70.8,22010362,18:28,74.91,4.15,22.74,50.25,16.05.2022 19:15:00,17.05.2022 08:50:00,2022-05-17 18:28:00
60,BP 110/02 (717221),ZSK 70.8,99220320,6:00,72.83,4.84,23.63,53.48,16.05.2022 19:15:00,17.05.2022 08:50:00,2022-05-17 06:00:00
61,BP 110/02 (717221),ZSK 70.8,99220320,6:00,73.3,4.87,23.53,53.11,16.05.2022 19:15:00,17.05.2022 08:50:00,2022-05-17 06:00:00
62,BP 110/02 (717221),ZSK 70.4,22010401,6:00,75.82,3.73,22.27,48.61,16.05.2022 17:30:00,17.05.2022 21:00:00,2022-05-17 06:00:00
63,BP 110/02 (717221),ZSK 70.5,22010401,6:00,75.74,3.68,21.86,47.88,17.05.2022 21:00:00,18.05.2022 18:30:00,2022-05-18 06:00:00
64,BP 110/02 (717221),ZSK 70.9,22010401,6:00,76.49,3.66,22.0,47.77,17.05.2022 21:00:00,18.05.2022 18:30:00,2022-05-18 06:00:00
65,BP 110/02 (717221),ZSK 70.9,22010400,18:00,76.62,3.59,21.45,46.69,17.05.2022 21:00:00,18.05.2022 18:30:00,2022-05-18 18:00:00
66,BP 110/02 (717221),ZSK 70.8,99220320,18:00,73.32,4.78,23.47,52.9,18.05.2022 20:00:00,19.05.2022 06:45:00,2022-05-19 18:00:00
67,BP 110/02 (717221),ZSK 70.8,99220320,18:00,73.65,4.69,23.44,52.59,18.05.2022 20:00:00,19.05.2022 06:45:00,2022-05-19 18:00:00
68,BP 110/02 (717221),ZSK 70.8,22010363,6:00,75.17,4.22,22.43,49.66,18.05.2022 20:00:00,19.05.2022 06:45:00,2022-05-19 06:00:00
69,BP 110/02 (717221),ZSK 70.4,22010403,18:00,76.61,3.6,22.47,48.47,18.05.2022 06:30:00,18.05.2022 20:00:00,2022-05-18 18:00:00
70,BP 110/02 (717221),ZSK 70.9,22010403,18:00,77.18,3.52,21.75,46.91,18.05.2022 06:30:00,18.05.2022 20:00:00,2022-05-18 18:00:00
71,BP 110/02 (717221),ZSK 70.5,22010403,18:00,76.26,3.77,22.13,48.19,18.05.2022 06:30:00,18.05.2022 20:00:00,2022-05-18 18:00:00
72,BP 110/02 (717221),ZSK 70.4,22010404,6:00,75.76,3.7,22.72,49.38,20.05.2022 03:00:00,21.05.2022 02:00:00,2022-05-20 06:00:00
73,BP 110/02 (717221),ZSK 70.9,22010404,6:00,77.18,3.25,22.1,47.24,19.05.2022 16:40:00,20.05.2022 03:00:00,2022-05-20 06:00:00
74,BP 110/02 (717221),ZSK 70.8,22010363,18:00,75.49,3.87,22.69,49.61,19.05.2022 16:40:00,20.05.2022 03:00:00,2022-05-19 18:00:00
75,BP 110/02 (717221),ZSK 70.5,22010406,8:00,76.0,3.82,23.9,51.38,19.05.2022 16:40:00,20.05.2022 03:00:00,2022-05-20 08:00:00
76,BP 110/02 (717221),ZSK 70.4,22010406,8:00,74.71,4.19,23.49,51.67,19.05.2022 16:40:00,20.05.2022 03:00:00,2022-05-20 08:00:00
77,BP 110/02 (717221),ZSK 70.8,22010364,9:00,75.26,4.12,22.35,49.37,20.05.2022 03:00:00,21.05.2022 02:00:00,2022-05-20 09:00:00
78,BP 110/02 (717221),ZSK 70.8,22010364,9:10,75.07,4.41,23.1,51.03,20.05.2022 03:00:00,20.05.2022 14:00:00,2022-05-20 09:10:00
79,BP 110/02 (717221),ZSK 70.8,22010364,10:00,75.42,4.0,22.02,48.61,20.05.2022 03:00:00,20.05.2022 14:00:00,2022-05-20 10:00:00
80,BP 110/02 (717221),ZSK 70.4,22010408,6:00,75.16,4.07,23.63,51.57,20.05.2022 03:00:00,21.05.2022 02:00:00,2022-05-20 06:00:00
81,BP 110/02 (717221),ZSK 70.4,22010409,6:00,76.2,3.15,21.18,45.99,24.05.2022 04:45:00,25.05.2022 00:35:00,2022-05-24 06:00:00
82,BP 110/02 (717221),ZSK 70.5,22010409,6:00,76.33,3.77,22.37,48.59,24.05.2022 04:45:00,25.05.2022 00:35:00,2022-05-24 06:00:00
83,BP 110/02 (717221),ZSK 70.8,22010366,11:40,73.98,4.82,23.12,52.01,24.05.2022 04:45:00,25.05.2022 00:35:00,2022-05-24 11:40:00
84,BP 110/02 (717221),ZSK 70.8,22010366,13:14,74.01,4.78,23.35,52.34,24.05.2022 02:50:00,24.05.2022 23:00:00,2022-05-24 13:14:00
85,BP 110/02 (717221),ZSK 70.4,22010410,18:00,78.49,2.31,20.43,42.94,24.05.2022 23:00:00,25.05.2022 20:35:00,2022-05-25 18:00:00
86,BP 110/02 (717221),ZSK 70.5,22010410,18:00,77.37,3.28,21.88,46.81,25.05.2022 00:35:00,25.05.2022 11:50:00,2022-05-25 18:00:00
87,BP 110/02 (717221),ZSK 70.9,22010410,18:00,77.54,3.06,22.12,46.95,25.05.2022 00:35:00,25.05.2022 11:50:00,2022-05-25 18:00:00
88,BP 110/02 (717221),ZSK 70.8,22010367,8:20,73.29,4.8,22.86,51.88,24.05.2022 23:00:00,25.05.2022 20:35:00,2022-05-25 08:20:00
89,BP 110/02 (717221),ZSK 70.8,22010367,18:00,73.38,4.91,22.86,51.94,24.05.2022 23:00:00,25.05.2022 20:35:00,2022-05-25 18:00:00
90,BP 110/02 (717221),ZSK 70.4,22010411,8:30,77.51,3.01,21.02,45.02,24.05.2022 23:00:00,25.05.2022 20:35:00,2022-05-25 08:30:00
91,BP 110/02 (717221),ZSK 70.5,22010411,8:30,76.28,3.86,22.67,49.2,25.05.2022 11:50:00,25.05.2022 21:40:00,2022-05-25 08:30:00
92,BP 110/02 (717221),ZSK 70.9,22010411,8:20,76.63,3.86,21.23,46.58,25.05.2022 11:50:00,25.05.2022 21:40:00,2022-05-25 08:20:00
93,BP 110/02 (717221),ZSK 70.8,22010368,6:00,73.29,4.84,23.02,52.2,25.05.2022 11:50:00,25.05.2022 21:40:00,2022-05-25 06:00:00
94,BP 110/02 (717221),ZSK 70.5,22010412,18:00,75.86,3.89,22.66,49.41,30.05.2022 22:15:00,31.05.2022 21:45:00,2022-05-31 18:00:00
95,BP 110/02 (717221),ZSK 70.9,22010412,18:00,76.49,3.75,22.18,48.17,30.05.2022 22:15:00,31.05.2022 21:45:00,2022-05-31 18:00:00
96,BP 110/02 (717221),ZSK 70.8,22010367,18:00,72.46,5.09,22.85,52.57,30.05.2022 21:25:00,31.05.2022 08:05:00,2022-05-31 18:00:00
97,BP 110/02 (717221),ZSK 70.8,22010367,18:00,73.04,5.17,23.36,53.23,30.05.2022 21:25:00,31.05.2022 08:05:00,2022-05-31 18:00:00
98,BP 110/02 (717221),ZSK 70.8,22010368,11:50,73.51,4.9,23.21,52.47,30.05.2022 21:25:00,31.05.2022 08:05:00,2022-05-31 11:50:00
99,BP 110/02 (717221),ZSK 70.8,22010368,11:15,74.0,4.61,22.86,51.33,30.05.2022 11:45:00,30.05.2022 21:25:00,2022-05-30 11:15:00
100,BP 110/02 (717221),ZSK 70.8,22010368,13:00,73.83,4.87,23.12,52.13,30.05.2022 11:45:00,30.05.2022 21:25:00,2022-05-30 13:00:00
101,BP 110/02 (717221),ZSK 70.8,22010368,15:20,73.15,5.27,23.42,53.4,30.05.2022 11:45:00,30.05.2022 21:25:00,2022-05-30 15:20:00
102,BP 110/02 (717221),ZSK 70.8,22010295,6:00,73.58,4.69,22.38,50.78,30.05.2022 22:15:00,31.05.2022 21:45:00,2022-05-31 06:00:00
103,BP 110/02 (717221),ZSK 70.8,22010297,6:00,73.78,4.59,22.53,50.86,30.05.2022 22:15:00,31.05.2022 21:45:00,2022-05-31 06:00:00
104,BP 110/02 (717221),ZSK 70.8,22010296,18:00,73.9,4.71,22.99,51.72,30.05.2022 22:15:00,31.05.2022 21:45:00,2022-05-31 18:00:00
105,BP 110/02 (717221),ZSK 70.8,22010298,6:00,73.84,4.55,22.76,51.19,30.05.2022 22:15:00,31.05.2022 21:45:00,2022-05-31 06:00:00
106,BP 110/02 (717221),ZSK 70.8,22010297,18:00,74.17,4.67,23.0,51.56,04.04.2022 15:00:00,05.04.2022 10:50:00,2022-04-04 18:00:00
107,BP 110/02 (717221),ZSK 70.8,22010298,10:00,74.5,4.34,22.5,50.21,04.04.2022 15:00:00,05.04.2022 10:50:00,2022-04-05 10:00:00
108,BP 110/02 (717221),ZSK 70.8,22010299,18:00,73.13,4.84,23.01,52.27,04.04.2022 15:00:00,05.04.2022 10:50:00,2022-04-04 18:00:00
109,BP 110/02 (717221),ZSK 70.8,22010299,6:00,73.19,4.87,22.88,52.03,06.04.2022 05:20:00,07.04.2022 01:25:00,2022-04-06 06:00:00
110,BP 110/02 (717221),ZSK 70.5,22010297,10:15,74.16,4.5,24.09,53.27,05.04.2022 10:50:00,06.04.2022 05:20:00,2022-04-06 10:15:00
111,BP 110/02 (717221),ZSK 70.8,22010300,10:15,73.3,4.75,23.01,52.08,07.04.2022 01:25:00,07.04.2022 17:55:00,2022-04-07 10:15:00
112,BP 110/02 (717221),ZSK 70.8,22010300,18:00,74.04,4.15,22.27,49.85,06.04.2022 05:20:00,07.04.2022 01:25:00,2022-04-06 18:00:00
113,BP 110/02 (717221),ZSK 70.8,22010300,8:30,73.56,4.73,23.39,52.6,07.04.2022 01:25:00,07.04.2022 17:55:00,2022-04-07 08:30:00
114,BP 110/02 (717221),ZSK 70.8,22010300,18:00,73.6,4.48,23.11,51.84,07.04.2022 17:55:00,08.04.2022 13:00:00,2022-04-07 18:00:00
115,BP 110/02 (717221),ZSK 70.8,22010300,10:15,73.0,4.8,23.23,52.67,07.04.2022 17:55:00,08.04.2022 13:00:00,2022-04-08 10:15:00
116,BP 110/02 (717221),ZSK 70.8,22010304,18:00,74.28,3.99,22.89,50.66,11.04.2022 11:00:00,12.04.2022 11:30:00,2022-04-11 18:00:00
117,BP 110/02 (717221),ZSK 70.5,22010322,8:30,75.44,3.79,22.63,49.46,11.04.2022 11:00:00,12.04.2022 11:30:00,2022-04-12 08:30:00
118,BP 110/02 (717221),ZSK 70.8,22010305,8:30,72.67,4.91,22.69,52,13.04.2022 05:40:00,14.04.2022 00:01:00,2022-04-13 08:30:00
119,BP 110/02 (717221),ZSK 70.8,22010305,18:00,72.34,5.24,23.35,53.66,12.04.2022 11:30:00,13.04.2022 05:40:00,2022-04-12 18:00:00
120,BP 110/02 (717221),ZSK 70.8,22010305,18:00,72.96,4.94,22.98,52.39,13.04.2022 05:40:00,14.04.2022 00:01:00,2022-04-13 18:00:00
121,BP 110/02 (717221),ZSK 70.8,22010306,6:00,72.87,4.85,22.84,52.1,14.04.2022 00:00:00,14.04.2022 18:20:00,2022-04-14 06:00:00
122,BP 110/02 (717221),ZSK 70.8,22010306,6:00,72.63,5.05,22.97,52.65,14.04.2022 00:00:00,14.04.2022 18:20:00,2022-04-14 06:00:00
123,BP 110/02 (717221),ZSK 70.8,22010306,18:00,73.65,4.73,22.67,51.31,20.04.2022 00:00:00,20.04.2022 00:00:00,2022-04-20 18:00:00
124,BP 110/02 (717221),ZSK 70.8,22010307,6:00,73.31,4.82,22.38,51.05,20.04.2022 00:00:00,20.04.2022 00:00:00,2022-04-20 06:00:00
125,BP 110/02 (717221),ZSK 70.8,22010307,6:00,73.25,4.83,22.57,51.42,20.04.2022 00:00:00,20.04.2022 00:00:00,2022-04-20 06:00:00
126,BP 110/02 (717221),ZSK 70.8,22010309,2:00,73.23,5.04,23.57,53.37,22.04.2022 03:45:00,22.04.2022 22:15:00,2022-04-22 02:00:00
127,BP 110/02 (717221),ZSK 70.8,22010310,6:00,72.67,5.27,23.43,53.65,22.04.2022 03:45:00,22.04.2022 22:15:00,2022-04-22 06:00:00
128,BP 110/02 (717221),ZSK 70.8,22010311,18:00,73.81,4.86,23.16,52.19,22.04.2022 03:45:00,22.04.2022 22:15:00,2022-04-22 18:00:00
129,BP 110/02 (717221),ZSK 70.8,22010368,18:00,74.4,4.5,22.98,51.24,25.04.2022 22:40:00,26.04.2022 17:40:00,2022-04-26 18:00:00
130,BP 110/02 (717221),ZSK 70.8,22010368,15:55,74.02,4.56,22.77,51.13,25.04.2022 22:40:00,26.04.2022 17:40:00,2022-04-26 15:55:00
131,BP 110/02 (717221),ZSK 70.8,22010369,6:00,73.73,4.81,23.49,52.76,25.04.2022 22:40:00,26.04.2022 17:40:00,2022-04-26 06:00:00
132,BP 110/02 (717221),ZSK 70.8,22010369,6:00,74.14,4.51,22.51,50.56,26.04.2022 17:40:00,27.04.2022 12:30:00,2022-04-27 06:00:00
133,BP 110/02 (717221),ZSK 70.9,22010436,6:00,76.42,3.66,21.7,47.29,26.04.2022 17:40:00,27.04.2022 12:30:00,2022-04-27 06:00:00
134,BP 110/02 (717221),ZSK 70.9,22010436,7:40,76.87,3.82,21.88,47.54,27.04.2022 12:30:00,28.04.2022 09:00:00,2022-04-28 07:40:00
135,BP 110/02 (717221),ZSK 70.4,22010436,6:00,77.56,2.68,21.37,45.31,29.04.2022 03:15:00,29.04.2022 21:30:00,2022-04-29 06:00:00
136,BP 110/02 (717221),ZSK 70.5,22010436,6:00,66.99,2.49,15.19,37.86,28.04.2022 09:00:00,29.04.2022 03:15:00,2022-04-29 06:00:00
137,BP 110/02 (717221),ZSK 70.11,99220369,0:16,77.78,3.1,20.03,43.27,30.05.2022 22:15:00,31.05.2022 21:45:00,2022-05-31 00:16:00
138,BP 110/02 (717221),ZSK 70.4,22010435,18:00,78.27,2.9,20.52,43.73,30.05.2022 22:15:00,31.05.2022 21:45:00,2022-05-31 18:00:00
139,BP 110/02 (717221),ZSK 70.5,22010435,18:00,76.59,3.82,22.07,47.99,30.05.2022 22:15:00,31.05.2022 21:45:00,2022-05-31 18:00:00
140,BP 110/02 (717221),ZSK 70.9,22010435,18:00,76.39,4.21,21.63,47.71,30.05.2022 22:15:00,31.05.2022 21:45:00,2022-05-31 18:00:00
141,BP 110/02 (717221),ZSK 70.8,22010369,18:00,74.34,4.52,22.96,51.26,31.05.2022 21:45:00,31.05.2022 23:59:00,2022-05-31 18:00:00
142,BP 110/02 (717221),ZSK 70.4,22010438,6:00,77.4,3.0,21.26,45.47,01.06.2022 00:01:00,01.06.2022 21:40:00,2022-06-01 06:00:00
143,BP 110/02 (717221),ZSK 70.5,22010438,6:00,76.85,3.4,21.26,46.09,31.05.2022 21:45:00,31.05.2022 23:59:00,2022-05-31 06:00:00
144,BP 110/02 (717221),ZSK 70.9,22010438,6:00,76.63,3.73,22.22,48.16,01.06.2022 00:01:00,01.06.2022 21:40:00,2022-06-01 06:00:00
145,BP 110/02 (717221),ZSK 70.4,22010437,18:00,78.81,2.63,19.94,42.26,01.06.2022 04:30:00,01.06.2022 13:10:00,2022-06-01 18:00:00
146,BP 110/02 (717221),ZSK 70.5,22010437,18:00,76.85,3.66,21.45,46.65,01.06.2022 04:30:00,01.06.2022 13:10:00,2022-06-01 18:00:00
147,BP 110/02 (717221),ZSK 70.8,22010371,6:00,74.41,4.53,22.57,50.55,31.05.2022 23:50:00,31.05.2022 23:59:00,2022-05-31 06:00:00
148,BP 110/02 (717221),ZSK 70.5,22010439,18:00,77.08,3.48,21.95,47.25,01.06.2022 04:30:00,01.06.2022 13:10:00,2022-06-01 18:00:00
149,BP 110/02 (717221),ZSK 70.9,22010439,18:00,77.62,3.67,20.82,45.25,01.06.2022 04:30:00,01.06.2022 13:10:00,2022-06-01 18:00:00
150,BP 110/02 (717221),ZSK 70.5,22010441,7:15,75.97,3.85,22.37,48.83,31.05.2022 17:25:00,01.06.2022 04:30:00,2022-06-01 07:15:00
151,BP 110/02 (717221),ZSK 70.4,22010441,6:00,78.11,2.93,20.74,44.21,31.05.2022 17:25:00,01.06.2022 04:30:00,2022-06-01 06:00:00
152,BP 110/02 (717221),ZSK 70.5,22010441,6:00,77.03,3.37,21.35,46.13,31.05.2022 17:25:00,01.06.2022 04:30:00,2022-06-01 06:00:00
153,BP 110/02 (717221),ZSK 70.9,22010441,6:00,77.41,3.6,20.96,45.52,31.05.2022 17:25:00,01.06.2022 04:30:00,2022-06-01 06:00:00
154,BP 110/02 (717221),ZSK 70.8,22010370,18:00,74.56,4.42,22.83,50.83,31.05.2022 17:25:00,01.06.2022 04:30:00,2022-05-31 18:00:00
155,BP 110/02 (717221),ZSK 70.4,22010443,18:00,77.81,3.15,20.7,44.47,31.05.2022 17:25:00,01.06.2022 04:30:00,2022-05-31 18:00:00
156,BP 110/02 (717221),ZSK 70.5,22010443,18:00,76.94,3.55,22.04,47.53,31.05.2022 21:45:00,31.05.2022 23:59:00,2022-05-31 18:00:00
157,BP 110/02 (717221),ZSK 70.9,22010443,18:00,77.62,3.65,21.54,46.48,01.06.2022 00:01:00,01.06.2022 21:40:00,2022-06-01 18:00:00
158,BP 110/02 (717221),ZSK 70.8,22010371,18:00,73.86,4.68,23.41,52.43,01.06.2022 23:15:00,02.06.2022 09:15:00,2022-06-02 18:00:00
159,BP 110/02 (717221),ZSK 70.8,22010371,18:00,74.83,4.11,22.26,49.41,01.06.2022 23:15:00,02.06.2022 09:15:00,2022-06-02 18:00:00
160,BP 110/02 (717221),ZSK 70.8,22010371,18:00,74.4,4.36,22.75,50.71,01.06.2022 23:15:00,02.06.2022 09:15:00,2022-06-02 18:00:00
161,BP 110/02 (717221),ZSK 70.9,22010442,9:15,70.01,6.23,22.02,53.52,01.06.2022 13:10:00,01.06.2022 23:15:00,2022-06-01 09:15:00
162,BP 110/02 (717221),ZSK 70.5,22010442,9:15,68.28,6.9,22.73,56.48,01.06.2022 13:10:00,01.06.2022 23:15:00,2022-06-01 09:15:00
163,BP 110/02 (717221),ZSK 70.8,22010372,11:00,74.34,4.43,22.02,49.55,02.06.2022 09:15:00,02.06.2022 19:20:00,2022-06-02 11:00:00
164,BP 110/02 (717221),ZSK 70.8,22010372,13:15,74.43,4.38,21.84,49.12,02.06.2022 09:15:00,02.06.2022 19:20:00,2022-06-02 13:15:00
165,BP 110/02 (717221),ZSK 70.8,22010372,14:26,73.81,4.68,22.31,50.55,02.06.2022 09:15:00,02.06.2022 19:20:00,2022-06-02 14:26:00
166,BP 110/02 (717221),ZSK 70.8,22010486,6:00,73.24,4.84,22.17,50.73,03.06.2022 05:15:00,03.06.2022 17:30:00,2022-06-03 06:00:00
167,BP 110/02 (717221),ZSK 70.8,22010486,6:00,73.7,4.62,22.16,50.27,03.06.2022 05:15:00,03.06.2022 17:30:00,2022-06-03 06:00:00
168,BP 110/02 (717221),ZSK 70.4,22010446,6:00,77.86,2.76,21.48,45.43,03.06.2022 05:15:00,03.06.2022 17:20:00,2022-06-03 06:00:00
169,BP 110/02 (717221),ZSK 70.5,22010446,6:00,76.23,3.73,22.9,49.5,03.06.2022 05:15:00,03.06.2022 17:20:00,2022-06-03 06:00:00
170,BP 110/02 (717221),ZSK 70.9,22010446,6:00,77.08,3.61,21.01,45.75,03.06.2022 05:15:00,03.06.2022 17:30:00,2022-06-03 06:00:00
171,BP 110/02 (717221),ZSK 70.8,22010372,18:00,73.82,4.69,22.33,50.58,03.06.2022 05:15:00,03.06.2022 17:30:00,2022-06-03 18:00:00
172,BP 110/02 (717221),ZSK 70.8,22010372,18:00,73.85,4.64,22.39,50.63,03.06.2022 05:15:00,03.06.2022 17:30:00,2022-06-03 18:00:00
173,BP 110/02 (717221),ZSK 70.8,22010487,6:00,75.23,4.04,22.01,48.72,01.06.2022 21:40:00,02.06.2022 21:35:00,2022-06-02 06:00:00
174,BP 110/02 (717221),ZSK 70.8,22010487,6:00,75.47,3.97,22.5,49.4,03.06.2022 17:30:00,04.06.2022 02:30:00,2022-06-04 06:00:00
175,BP 110/02 (717221),ZSK 70.8,22010487,18:00,74.72,4.37,22.81,50.67,03.06.2022 17:30:00,04.06.2022 02:30:00,2022-06-03 18:00:00
176,BP 110/02 (717221),ZSK 70.8,22010487,19:00,74.5,4.45,22.86,50.94,03.06.2022 17:30:00,04.06.2022 02:30:00,2022-06-03 19:00:00
177,BP 110/02 (717221),ZSK 70.8,22010487,14:00,74.41,4.48,22.73,50.79,02.06.2022 21:35:00,03.06.2022 21:10:00,2022-06-03 14:00:00
178,BP 110/02 (717221),ZSK 70.8,22010488,18:00,75.27,4.04,22.43,49.43,02.06.2022 21:35:00,03.06.2022 21:10:00,2022-06-03 18:00:00
179,BP 110/02 (717221),ZSK 70.8,22010488,18:00,74.79,4.51,23.19,51.42,02.06.2022 21:35:00,03.06.2022 21:10:00,2022-06-03 18:00:00
180,BP 110/02 (717221),ZSK 70.9,22010450,6:00,75.95,4.2,22.25,48.96,08.06.2022 02:40:00,08.06.2022 10:45:00,2022-06-08 06:00:00
181,BP 110/02 (717221),ZSK 70.4,22010449,18:00,77.45,3.19,21.65,46.31,08.06.2022 02:40:00,08.06.2022 10:45:00,2022-06-08 18:00:00
182,BP 110/02 (717221),ZSK 70.5,22010449,18:00,76.6,3.88,21.68,47.38,08.06.2022 05:20:00,08.06.2022 15:15:00,2022-06-08 18:00:00
183,BP 110/02 (717221),ZSK 70.9,22010449,18:00,74.98,4.7,23.79,52.54,08.06.2022 05:20:00,08.06.2022 15:15:00,2022-06-08 18:00:00
184,BP 110/02 (717221),ZSK 70.8,22010488,12:00,74.76,4.39,22.61,50.32,08.06.2022 05:20:00,08.06.2022 15:15:00,2022-06-08 12:00:00
185,BP 110/02 (717221),ZSK 70.8,22010488,18:00,74.8,4.46,23.0,51.04,08.06.2022 12:00:00,09.06.2022 15:15:00,2022-06-08 18:00:00
186,BP 110/02 (717221),ZSK 70.4,22010452,18:00,0.01,-0.01,0.02,92.18,08.06.2022 12:00:00,09.06.2022 15:15:00,2022-06-08 18:00:00
187,BP 110/02 (717221),ZSK 70.4,22010452,18:00,78.2,2.86,21.08,44.7,08.06.2022 12:00:00,09.06.2022 15:15:00,2022-06-08 18:00:00
188,BP 110/02 (717221),ZSK 70.5,22010452,18:00,77.07,3.39,21.31,46.08,08.06.2022 12:00:00,09.06.2022 15:15:00,2022-06-08 18:00:00
189,BP 110/02 (717221),ZSK 70.9,22010452,18:00,75.78,4.33,22.78,50.08,08.06.2022 12:00:00,09.06.2022 15:15:00,2022-06-08 18:00:00
190,BP 110/02 (717221),70.8,22010489,10:15,75.4,4.15,22.31,49.27,09.06.2022 15:15:00,10.06.2022 17:45:00,2022-06-10 10:15:00
191,BP 110/02 (717221),ZSK 70.8,22010421,6:00,75.21,4.3,22.41,49.67,09.06.2022 15:15:00,10.06.2022 17:45:00,2022-06-10 06:00:00
192,BP 110/02 (717221),ZSK 70.8,22010490,14:00,75.69,4.17,22.72,49.87,09.06.2022 15:15:00,10.06.2022 17:45:00,2022-06-10 14:00:00
193,BP 110/02 (717221),ZSK 70.8,22010490,18:00,75.52,4.17,22.71,49.93,09.06.2022 15:15:00,10.06.2022 17:45:00,2022-06-09 18:00:00
194,BP 110/02 (717221),ZSK 70.8,22010422,8:30,75.95,4.0,21.55,47.56,09.06.2022 15:15:00,10.06.2022 17:45:00,2022-06-10 08:30:00
195,BP 110/02 (717221),ZSK 70.4,22010457,20:05,75.61,3.85,23.01,50.1,09.06.2022 15:15:00,10.06.2022 17:45:00,2022-06-09 20:05:00
196,BP 110/02 (717221),ZSK 70.8,22010421,18:00,75.14,4.03,22.8,50.12,09.06.2022 21:00:00,10.06.2022 07:10:00,2022-06-10 18:00:00
197,BP 110/02 (717221),ZSK 70.9,22010459,8:30,74.5,4.26,24.43,53.43,09.06.2022 21:00:00,10.06.2022 07:10:00,2022-06-10 08:30:00
198,BP 110/02 (717221),ZSK 70.8,22010423,6:00,74.06,4.56,22.69,50.97,10.06.2022 00:00:00,10.06.2022 00:00:00,2022-06-10 06:00:00
199,BP 110/02 (717221),ZSK 70.8,22010423,6:00,75.12,4.38,22.78,50.43,09.06.2022 12:00:00,09.06.2022 21:00:00,2022-06-09 06:00:00
200,BP 110/02 (717221),ZSK 70.8,22010422,18:00,75.91,4.03,22.38,49.04,09.06.2022 12:00:00,09.06.2022 21:00:00,2022-06-09 18:00:00
201,BP 110/02 (717221),ZSK 70.8,22010424,6:00,73.22,4.9,23.03,52.3,09.06.2022 15:15:00,10.06.2022 17:45:00,2022-06-10 06:00:00
202,BP 110/02 (717221),ZSK 70.8,22010423,18:00,73.1,4.79,23.27,52.68,09.06.2022 15:15:00,10.06.2022 17:45:00,2022-06-09 18:00:00
203,BP 110/02 (717221),ZSK 70.8,22010423,18:00,73.58,4.52,23.16,51.99,09.06.2022 15:15:00,10.06.2022 17:45:00,2022-06-09 18:00:00
204,BP 110/02 (717221),ZSK 70.8,22010425,6:00,72.51,5.37,23.5,53.96,09.06.2022 15:15:00,10.06.2022 17:45:00,2022-06-10 06:00:00
205,BP 110/02 (717221),ZSK 70.8,22010425,6:00,72.0,5.32,23.41,54.01,10.06.2022 17:00:00,11.06.2022 02:30:00,2022-06-11 06:00:00
206,BP 110/02 (717221),ZSK 70.4,22010465,6:00,74.89,4.77,23.8,52.67,10.06.2022 17:00:00,11.06.2022 02:30:00,2022-06-11 06:00:00
207,BP 110/02 (717221),ZSK 70.5,22010465,6:00,73.4,5.4,24.12,54.59,10.06.2022 17:00:00,11.06.2022 04:20:00,2022-06-11 06:00:00
208,BP 110/02 (717221),ZSK 70.9,22010465,6:00,73.69,5.26,24.97,55.74,10.06.2022 17:00:00,11.06.2022 02:00:00,2022-06-11 06:00:00
209,BP 110/02 (717221),ZSK 70.4,22010467,18:00,76.27,3.83,22.71,49.25,15.06.2022 01:00:00,15.06.2022 23:00:00,2022-06-15 18:00:00
210,BP 110/02 (717221),ZSK 70.5,22010467,18:00,0.0,0.0,0.0,------,14.06.2022 01:30:00,15.06.2022 01:00:00,2022-06-14 18:00:00
211,BP 110/02 (717221),ZSK 70.5,22010467,18:00,75.18,4.47,22.77,50.48,14.06.2022 01:30:00,15.06.2022 01:00:00,2022-06-14 18:00:00
212,BP 110/02 (717221),ZSK 70.5,22010468,8:30,75.37,3.97,22.11,48.77,15.06.2022 01:00:00,15.06.2022 23:00:00,2022-06-15 08:30:00
213,BP 110/02 (717221),ZSK 70.9,22010468,10:15,73.89,5.2,24.09,54.09,21.06.2022 01:15:00,21.06.2022 23:40:00,2022-06-21 10:15:00
214,BP 110/02 (717221),ZSK 70.9,22010468,10:15,73.95,5.18,24.0,53.88,21.06.2022 01:15:00,21.06.2022 23:40:00,2022-06-21 10:15:00
215,BP 110/02 (717221),ZSK 70.5,22010470,6:00,75.58,4.26,23.58,51.48,21.06.2022 01:15:00,21.06.2022 23:40:00,2022-06-21 06:00:00
216,BP 110/02 (717221),ZSK 70.8,22010427,6:00,73.13,4.95,23.61,53.41,21.06.2022 01:15:00,21.06.2022 23:40:00,2022-06-21 06:00:00
217,BP 110/02 (717221),ZSK 70.4,22010468,18:00,77.22,3.39,21.43,46.21,22.06.2022 20:25:00,23.06.2022 06:55:00,2022-06-23 18:00:00
218,BP 110/02 (717221),ZSK 70.5,22010468,18:00,74.83,4.27,22.98,50.82,22.06.2022 20:25:00,23.06.2022 06:55:00,2022-06-23 18:00:00
219,BP 110/02 (717221),ZSK 70.9,22010468,18:00,76.38,3.97,23.07,49.95,22.06.2022 20:25:00,23.06.2022 06:55:00,2022-06-23 18:00:00
