,Produktname,Line,Charge,Uhrzeit,L,a,b,YI,Beginn,Ende,current_time,Temperatures_Reg02_Sps_Istwert,Temperatures_Reg03_Sps_Istwert,Temperatures_Reg04_Sps_Istwert,Temperatures_Reg05_Sps_Istwert,Temperatures_Reg06_Sps_Istwert,Temperatures_Reg07_Sps_Istwert,Temperatures_Reg08_Sps_Istwert,Temperatures_Reg09_Sps_Istwert,Temperatures_Reg10_Sps_Istwert,Temperatures_Reg11_Sps_Istwert,Temperatures_Reg12_Sps_Istwert,Temperatures_Reg13_Sps_Istwert,Temperatures_Reg14_Sps_Istwert,Temperatures_Reg15_Sps_Istwert,Temperatures_Reg02_Pc_Sollwert,Temperatures_Reg03_Pc_Sollwert,Temperatures_Reg04_Pc_Sollwert,Temperatures_Reg05_Pc_Sollwert,Temperatures_Reg06_Pc_Sollwert,Temperatures_Reg07_Pc_Sollwert,Temperatures_Reg08_Pc_Sollwert,Temperatures_Reg09_Pc_Sollwert,Temperatures_Reg10_Pc_Sollwert,Temperatures_Reg11_Pc_Sollwert,Temperatures_Reg12_Pc_Sollwert,Temperatures_Reg13_Pc_Sollwert,Temperatures_Reg14_Pc_Sollwert,Temperatures_Reg15_Pc_Sollwert,Feeder_DosSum_Sps_Durchsatz_Istwert,Feeder_DosSum_Pc_Durchsatz_Sollwert,Feeder_Dos01_Sps_Durchsatz_Istwert,Feeder_Dos02_Sps_Durchsatz_Istwert,Feeder_Dos03_Sps_Durchsatz_Istwert,Feeder_Dos04_Sps_Durchsatz_Istwert,Feeder_Dos05_Sps_Durchsatz_Istwert,Feeder_Dos06_Sps_Durchsatz_Istwert,Feeder_Dos07_Sps_Durchsatz_Istwert,Feeder_Dos08_Sps_Durchsatz_Istwert,Feeder_Dos01_Pc_Durchsatz_Sollwert,Feeder_Dos02_Pc_Durchsatz_Sollwert,Feeder_Dos03_Pc_Durchsatz_Sollwert,Feeder_Dos04_Pc_Durchsatz_Sollwert,Feeder_Dos05_Pc_Durchsatz_Sollwert,Feeder_Dos06_Pc_Durchsatz_Sollwert,Feeder_Dos07_Pc_Durchsatz_Sollwert,Feeder_Dos08_Pc_Durchsatz_Sollwert,Misc_Hat_Sps_Drehzahl_Istwert,Misc_Hat_Pc_Drehzahl_Sollwert,Misc_Hat_Sps_Drehmoment_Istwert,Temperatures_AE_Materialtemperatur01,Temperatures_AE_Materialtemperatur02,Misc_Mtd01_Sps_Istwert,Feeder_Dos01_Sps_MotorStellwert,Feeder_Dos02_Sps_MotorStellwert,Feeder_Dos03_Sps_MotorStellwert,Feeder_Dos04_Sps_MotorStellwert,Feeder_Dos05_Sps_MotorStellwert,Feeder_Dos06_Sps_MotorStellwert,Feeder_Dos07_Sps_MotorStellwert,Feeder_Dos08_Sps_MotorStellwert,Feeder_Dos01_Sps_Dosierfaktor,Feeder_Dos02_Sps_Dosierfaktor,Feeder_Dos03_Sps_Dosierfaktor,Feeder_Dos04_Sps_Dosierfaktor,Feeder_Dos05_Sps_Dosierfaktor,Feeder_Dos06_Sps_Dosierfaktor,Feeder_Dos07_Sps_Dosierfaktor,Feeder_Dos08_Sps_Dosierfaktor,Feeder_Dos01_Sps_MotorDrehzahl,Feeder_Dos02_Sps_MotorDrehzahl,Feeder_Dos03_Sps_MotorDrehzahl,Feeder_Dos04_Sps_MotorDrehzahl,Feeder_Dos05_Sps_MotorDrehzahl,Feeder_Dos06_Sps_MotorDrehzahl,Feeder_Dos07_Sps_MotorDrehzahl,Feeder_Dos08_Sps_MotorDrehzahl,Feeder_Dos01_Sps_Nettogewicht,Feeder_Dos02_Sps_Nettogewicht,Feeder_Dos03_Sps_Nettogewicht,Feeder_Dos04_Sps_Nettogewicht,Feeder_Dos05_Sps_Nettogewicht,Feeder_Dos06_Sps_Nettogewicht,Feeder_Dos07_Sps_Nettogewicht,Feeder_Dos08_Sps_Nettogewicht
124,BP 110/02 (717221),ZSK 70.4,22010441,6:00,78.11,2.93,20.74,44.21,31.05.2022 17:25:00,01.06.2022 04:30:00,6/1/2022 6:00,184.8808511,185.0265957,170.0234043,145.1925532,145.0914894,145.0244681,164.9978723,155.1297872,100.0010638,163.4106383,146.8,0,0,0,185,185,170,145,145,145,165,155,100,150,142,0,0,0,799.9890078,800,480.8069542,0,307.9879183,7.999576843,0,3.195480392,0,0,480.7999573,0,308,7.999999523,0,3.199999809,0,0,359.9925532,360,72.83191489,19.79893617,210.3542553,5.085106383,50.54148727,0,50.46425345,8.478722938,0,5.407659287,0,0,951.5078787,646.7991943,611.0315747,94.3057501,36.75806427,62.84348508,250,96.19335938,1515.606383,0,1513.021277,254.9148936,0,161.4787234,0,0,47.70426584,48.51475549,47.66711572,16.24109869,18.60059852,10.27654887,0,0
125,BP 110/02 (717221),ZSK 70.5,22010441,6:00,77.03,3.37,21.35,46.13,31.05.2022 21:45:00,31.05.2022 23:59:00,5/31/2022 6:00,184.967033,184.9967033,170.0186813,145.0164835,145.0054945,145.0505495,187.1,155.9538462,99.96923077,171.9087912,153.7,0,0,0,185,185,170,145,145,145,165,155.4615385,100,150,140,0,0,0,799.8766473,799.9960327,480.7959642,0,307.8940537,8.000136878,0,3.197906788,0,0,480.8000183,0,308.0000305,8.000000954,0,3.196040154,0,0,358.6065934,360,74.71538462,199.3208791,171.6406593,3.901098901,68.86768886,0,52.38439371,9.454944548,0,9.303735859,0,0,697.688718,406.6065063,587.7593967,84.38591892,34.46990967,34.49209695,94.3487854,65.54180908,2065.043956,0,1570.472527,585.2967033,0,278.021978,0,0,47.44631329,39.77908929,53.81471554,18.77563682,40.06520122,10.06342062,0,0
126,BP 110/02 (717221),ZSK 70.9,22010441,6:00,77.41,3.6,20.96,45.52,01.06.2022 00:01:00,01.06.2022 21:40:00,6/1/2022 6:00,183.5263892,185.1090279,169.8958334,145.0416665,144.8861115,144.7951396,165.0618058,154.5312497,99.9527776,179.6631948,168.211806,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,807.99811,808,480.8173534,0,307.9819404,7.99904158,0,3.200303637,0,7.999579671,480.7999878,0,308,8,0,3.200000048,0,8,359.8480225,360,82.07127889,188.2381945,209.8506949,23.33838697,48.63898012,0,51.61646255,3.983195533,0,10.79991063,0,26.03471809,988.5725047,2206.295166,596.4736451,200.9384964,27.11325455,29.64236254,140.9575653,30.72723806,1458.618056,0,1547.923611,119.0486111,0,323.4305556,0,780.5208333,56.03148185,28.63734865,46.66593981,17.77993145,32.53110615,8.826896263,-0.021243057,36.81530025
127,BP 110/02 (717221),ZSK 70.8,22010370,18:00,74.56,4.42,22.83,50.83,01.06.2022 23:15:00,02.06.2022 09:15:00,6/2/2022 18:00,180.8852941,170.0507349,154.8691173,145.1213238,145.4455878,145.2345587,130.263971,140.0014706,91.03014716,22.31911766,22.06176479,0,0,0,180,170,155,145,145,145,130,140,90,16,19,0,0,0,1208.36722,1208.202637,721.1861016,0,462.1593967,12.00289556,8.201926806,0,4.803132285,0,721.2000732,0,461.9999695,12,8.199999809,0,4.802750111,0,534.9402035,535,87.24889419,180.6801466,22.21176455,0.455463223,70.36307958,0,68.07756413,18.06342649,11.2507565,0,33.55419165,0,1025.319331,574.2153931,679.0781376,66.47436585,72.88332272,8.568288803,14.32529886,0,2110.375,0,2041.757353,541.3676471,336.9485294,0,1006.154412,0,52.4990981,-1.779000044,63.55492219,18.64216992,28.7596117,-0.042698532,9.972824013,0
128,BP 110/02 (717221),ZSK 70.4,22010443,18:00,77.81,3.15,20.7,44.47,01.06.2022 23:15:00,02.06.2022 09:15:00,6/2/2022 18:00,185.2276596,184.8659574,170.0308511,144.987234,144.956383,144.9957447,164.9808511,155,99.98510638,166.6053191,150.05,0,0,0,185,185,170,145,145,145,165,155,100,150,142,0,0,0,800.0023739,800,480.7973867,0,307.9944146,7.998196734,0,3.201838468,0,0,480.7999573,0,308,7.999999523,0,3.199999809,0,0,359.1255319,360,74.85638298,33.65744681,211.6457447,5,50.49084895,0,48.42382821,8.497020904,0,5.883616813,0,0,951.8359219,646.7991943,636.603191,93.77144266,36.75806427,55.10089485,250,96.19335938,1514.053191,0,1451.882979,255.7765957,0,175.9574468,0,0,47.4274305,48.46019136,48.50273782,18.95748893,18.25246056,9.02718406,0,0
129,BP 110/02 (717221),ZSK 70.5,22010443,18:00,76.94,3.55,22.04,47.53,01.06.2022 23:15:00,02.06.2022 09:15:00,6/2/2022 18:00,184.9274725,184.9934066,170.0318681,144.8307692,144.9340659,145.0285714,186.2252747,154.9065934,100.0043956,171.3527473,152.9549451,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,799.9251696,799.9960327,480.8029114,0,307.929998,8.001419151,0,3.195378005,0,0,480.8000183,0,308.0000305,8.000000954,0,3.196040154,0,0,358.8208791,360,77.82747253,199.4725275,171.221978,3.672527473,68.27582022,0,51.96439378,9.841977507,0,10.4903292,0,0,704.0720979,406.6065063,591.7142803,81.1211189,34.46990967,30.37528807,94.3487854,65.54180908,2047.351648,0,1558.120879,607.9340659,0,314.0989011,0,0,46.99435777,40.46409498,53.52158431,18.8388726,39.50812044,9.70491577,0,0
130,BP 110/02 (717221),ZSK 70.9,22010443,18:00,77.62,3.65,21.54,46.48,01.06.2022 13:10:00,01.06.2022 23:15:00,6/1/2022 18:00,186.7125003,185.0423613,169.7972214,145.047916,144.7805557,144.7361116,164.9951392,154.345833,100.0180555,181.1388914,170.2305553,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,808.0217116,808,480.8168057,0,308.0039145,7.998992364,0,3.199003802,0,7.999752323,480.7999878,0,308,8,0,3.200000048,0,8,359.845225,360,81.82693481,188.7451388,210.8229162,23.28252599,48.6653885,0,52.46104074,4.0489068,0,11.06326995,0,26.03501937,988.0173963,2206.295166,587.7028169,197.7953379,27.11325455,28.95647742,140.9575653,30.7425628,1459.354167,0,1573.333333,120.8819444,0,331.375,0,780.5833333,55.76970408,28.71645263,46.77013429,18.86074393,32.43811154,8.944875459,0.005409722,39.81074489
131,BP 110/02 (717221),ZSK 70.8,22010371,18:00,73.86,4.68,23.41,52.43,01.06.2022 13:10:00,01.06.2022 23:15:00,6/1/2022 18:00,179.0863309,169.8582731,154.8302161,145.1388493,145.4136693,144.6194243,130.2294961,140.0136691,90.94532359,21.53956833,21.32158293,0,0,0,180,170,155,145,145,145,130,140,90,16,19,0,0,0,1208.048676,1208.002686,721.1965249,0,462.0406086,12.00044732,8.000181541,0,4.803478021,0,721.2000122,0,462,12,8,0,4.802750587,0,534.9335375,535,86.68876813,180.5683457,21.42805765,0.407902846,70.57671016,0,64.79109488,16.95672053,10.9525491,0,32.16330656,0,1022.019299,574.2153931,712.7848392,70.78689701,73.06520004,8.568288803,14.93438229,0,2116.733813,0,1943.402878,508.1582734,328.1654676,0,964.3093525,0,51.84198802,-1.779000044,63.94551375,21.06459815,30.77736126,-0.051258995,10.59192857,0
132,BP 110/02 (717221),ZSK 70.8,22010371,18:00,74.83,4.11,22.26,49.41,02.06.2022 21:35:00,03.06.2022 21:10:00,6/3/2022 18:00,179.6957454,170.041134,154.7248228,144.9659573,145.4468084,144.7652487,130.168795,139.9950352,90.88652488,25.10141869,23.86950324,0,0,0,180,170,155,145,145,145,130,140,90,16,19,0,0,0,1208.234219,1208.202637,721.1924413,0,462.0478299,12.00139047,8.20065052,0,4.803450848,0,721.2000732,0,461.9999695,12,8.199999809,0,4.802750111,0,534.938861,535,86.76009807,180.691489,25.05390091,0.385853772,70.5918868,0,58.79947568,18.65967669,11.22395327,0,33.91837397,0,1021.673708,574.2153931,785.4575001,64.31982757,73.00297828,8.568288803,14.15628191,0,2117.283688,0,1763.503546,559.2765957,336.2340426,0,1016.985816,0,51.9781087,-1.779000044,63.50898183,23.02479534,31.76739873,-0.036773051,11.37724878,0
133,BP 110/02 (717221),ZSK 70.8,22010371,18:00,74.4,4.36,22.75,50.71,02.06.2022 09:15:00,02.06.2022 19:20:00,6/2/2022 18:00,180.8852941,170.0507349,154.8691173,145.1213238,145.4455878,145.2345587,130.263971,140.0014706,91.03014716,22.31911766,22.06176479,0,0,0,180,170,155,145,145,145,130,140,90,16,19,0,0,0,1208.36722,1208.202637,721.1861016,0,462.1593967,12.00289556,8.201926806,0,4.803132285,0,721.2000732,0,461.9999695,12,8.199999809,0,4.802750111,0,534.9402035,535,87.24889419,180.6801466,22.21176455,0.455463223,70.36307958,0,68.07756413,18.06342649,11.2507565,0,33.55419165,0,1025.319331,574.2153931,679.0781376,66.47436585,72.88332272,8.568288803,14.32529886,0,2110.375,0,2041.757353,541.3676471,336.9485294,0,1006.154412,0,52.4990981,-1.779000044,63.55492219,18.64216992,28.7596117,-0.042698532,9.972824013,0
134,BP 110/02 (717221),ZSK 70.9,22010442,9:15,70.01,6.23,22.02,53.52,02.06.2022 09:15:00,02.06.2022 19:20:00,6/2/2022 9:15,184.8453891,184.8645387,169.8482266,144.9347515,144.6184401,144.5106387,165.019149,154.2886527,99.98581549,180.5680893,168.3014177,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,808.0177508,808,480.8073354,0,308.0072268,7.99858309,0,3.200092101,0,8.000479813,480.7999878,0,308,8,0,3.200000048,0,8,359.8523728,360,82.03966506,188.5439716,210.0617023,23.24393184,48.94161016,0,52.93454834,4.340872467,0,10.9990473,0,26.11002772,982.4819565,2206.295166,581.7102847,184.3647939,27.11325455,29.10740649,140.9575653,30.64138734,1467.751773,0,1587.602837,129.6099291,0,329.4751773,0,782.8085106,56.06332884,28.68926389,46.43747741,19.70738387,32.35231354,8.211844339,-0.007304965,28.50418583
135,BP 110/02 (717221),ZSK 70.5,22010442,9:15,68.28,6.9,22.73,56.48,02.06.2022 09:15:00,02.06.2022 19:20:00,6/2/2022 9:15,185.3098901,184.9813187,169.9637363,145.0043956,145.0021978,145.0076923,185.1758242,155.010989,100.0186813,170.3505495,151.889011,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,799.9134159,799.9960327,480.8056795,0,307.9238161,7.999247195,0,3.195721527,0,0,480.8000183,0,308.0000305,8.000000954,0,3.196040154,0,0,358.6681319,360,76.32637363,199.4527473,170.1186813,3.665934066,68.48175401,0,52.7654927,9.494505222,0,10.44065874,0,0,701.7857076,406.6065063,584.2340276,84.15709057,34.46990967,30.54423234,94.3487854,65.54180908,2053.56044,0,1581.428571,587.7142857,0,312.6923077,0,0,47.11852642,40.00273635,52.66911266,12.74578396,39.58610996,6.999775939,0,0
136,BP 110/02 (717221),ZSK 70.8,22010372,11:00,74.34,4.43,22.02,49.55,03.06.2022 05:15:00,03.06.2022 17:30:00,6/3/2022 11:00,179.0448532,169.5250001,155.1389701,144.8764708,145.4808821,144.9242642,130.2169121,140.0125,91.07573498,22.17573522,21.99117644,0,0,0,180,170,155,145,145,145,130,140,90,16,19,0,0,0,1208.219112,1208.202637,721.2627801,0,461.9475228,12.00143869,8.199914708,0,4.804670064,0,721.2000732,0,461.9999695,12,8.199999809,0,4.802750111,0,534.9369722,535,87.11759679,180.6889715,21.99411762,0.347009464,69.87257425,0,57.22628136,18.79262541,11.39585651,0,33.73782865,0,1031.43605,574.2153931,809.1055585,63.89774039,71.96345554,8.568288803,14.2145512,0,2095.610294,0,1716.426471,563.3161765,341.4044118,0,1011.654412,0,52.24798778,-1.779000044,64.94426806,16.75964051,31.691553,-0.037235295,9.040265146,0
137,BP 110/02 (717221),ZSK 70.8,22010372,13:15,74.43,4.38,21.84,49.12,03.06.2022 05:15:00,03.06.2022 17:20:00,6/3/2022 13:15,180.3647062,169.4772054,155.161765,144.8558825,145.522059,144.9235295,130.2522057,139.9411764,91.07500009,23.8948526,23.43235268,0,0,0,180,170,155,145,145,145,130,140,90,16,19,0,0,0,1208.269313,1208.202637,721.2016054,0,462.0471755,12.00247836,8.200285673,0,4.801528457,0,721.2000732,0,461.9999695,12,8.199999809,0,4.802750111,0,534.9482817,535,87.0359533,180.5522058,23.59117682,0.404986213,70.21656575,0,58.47206814,18.68676901,11.29549447,0,33.45883274,0,1027.04813,574.2153931,790.7409295,64.17933907,72.62453792,8.568288803,14.35474165,0,2105.977941,0,1753.632353,560.0808824,338.3602941,0,1003.419118,0,51.94981126,-1.779000044,65.47404012,20.49603034,32.91985457,-0.037507354,11.05994903,0
138,BP 110/02 (717221),ZSK 70.8,22010372,14:26,73.81,4.68,22.31,50.55,03.06.2022 05:15:00,03.06.2022 17:20:00,6/3/2022 14:26,180.1316166,169.5507356,155.1742643,145.1889707,145.5022057,144.7647052,130.2735293,140.008824,91.06617653,24.51544124,23.92058793,0,0,0,180,170,155,145,145,145,130,140,90,16,19,0,0,0,1208.15699,1208.202637,721.1734485,0,461.9779457,11.9997303,8.199831899,0,4.802795417,0,721.2000732,0,461.9999695,12,8.199999809,0,4.802750111,0,534.9415499,535,87.11587345,180.8830887,24.22867663,0.396901382,70.29936431,0,59.19544085,18.66071899,11.2619143,0,34.0156013,0,1026.169426,574.2153931,781.1806515,64.32792978,72.86557753,8.568288803,14.14329933,0,2108.551471,0,1775.382353,559.25,337.3676471,0,1019.992647,0,52.46540703,-1.779000044,65.71755454,20.35778032,34.11850164,-0.036088236,10.39282405,0
139,BP 110/02 (717221),ZSK 70.8,22010486,6:00,73.24,4.84,22.17,50.73,03.06.2022 05:15:00,03.06.2022 17:30:00,6/3/2022 6:00,179.6605838,169.8343065,155.1145989,144.9985406,145.5116792,145.1591239,130.1912411,140.0226279,90.89416086,16.23722624,16.90364953,0,0,0,180,170,155,145,145,145,130,140,90,16,19,0,0,0,1208.319604,1208.202637,721.1992495,0,462.1195066,11.99762885,8.201767184,0,4.802131646,0,721.2000732,0,461.9999695,12,8.199999809,0,4.802750111,0,534.9320683,535,87.55435247,180.9299265,16.98175171,0.530812805,70.04588245,0,57.7567935,18.27140499,11.13349573,0,33.30126001,0,1029.700502,574.2153931,798.8505173,65.7139167,73.62466626,8.568288803,14.43318215,0,2100.905109,0,1732.029197,547.6569343,333.5036496,0,998.4890511,0,51.73022884,-1.779000044,64.86036072,19.29194974,28.92375318,-0.07544526,9.131204786,0
140,BP 110/02 (717221),ZSK 70.8,22010486,6:00,73.7,4.62,22.16,50.27,03.06.2022 05:15:00,03.06.2022 17:30:00,6/3/2022 6:00,179.6605838,169.8343065,155.1145989,144.9985406,145.5116792,145.1591239,130.1912411,140.0226279,90.89416086,16.23722624,16.90364953,0,0,0,180,170,155,145,145,145,130,140,90,16,19,0,0,0,1208.319604,1208.202637,721.1992495,0,462.1195066,11.99762885,8.201767184,0,4.802131646,0,721.2000732,0,461.9999695,12,8.199999809,0,4.802750111,0,534.9320683,535,87.55435247,180.9299265,16.98175171,0.530812805,70.04588245,0,57.7567935,18.27140499,11.13349573,0,33.30126001,0,1029.700502,574.2153931,798.8505173,65.7139167,73.62466626,8.568288803,14.43318215,0,2100.905109,0,1732.029197,547.6569343,333.5036496,0,998.4890511,0,51.73022884,-1.779000044,64.86036072,19.29194974,28.92375318,-0.07544526,9.131204786,0
141,BP 110/02 (717221),ZSK 70.4,22010446,6:00,77.86,2.76,21.48,45.43,03.06.2022 05:15:00,03.06.2022 17:30:00,6/3/2022 6:00,185.2774194,185.0225806,170.0268817,145.0053763,144.9892473,144.9784946,165.0172043,155.016129,99.99354839,166.9698925,150.5698925,0,0,0,185,185,170,145,145,145,165,155,100,150,142,0,0,0,799.9607491,800,480.7968697,0,307.9782892,7.999623873,0,3.200548259,0,0,480.7999573,0,308,7.999999523,0,3.199999809,0,0,360.0032258,360,72.01182796,25.95698925,212.0709677,4.9,50.49720247,0,47.15397628,8.46279534,0,6.147311621,0,0,952.1495335,646.7991943,657.0125719,94.23102151,36.75806427,53.33923602,250,96.19335938,1514.247312,0,1413.806452,255.172043,0,183.7956989,0,0,47.57006491,48.50209144,47.5114966,16.86214209,18.03213981,8.771425801,0,0
142,BP 110/02 (717221),ZSK 70.5,22010446,6:00,76.23,3.73,22.9,49.5,01.06.2022 21:40:00,02.06.2022 21:35:00,6/2/2022 6:00,185.0826087,185,170.0326087,144.9576087,145.0130435,144.9826087,186.5815217,155.0336957,100.0391304,170.6163043,153.0586957,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,799.9695335,799.9960327,480.7840443,0,307.9731246,8.00053526,0,3.195525403,0,0,480.8000183,0,308.0000305,8.000000954,0,3.196040154,0,0,358.626087,360,75.70652174,198.8978261,170.1173913,3.885869565,68.43260458,0,53.08434553,9.525217036,0,10.35456479,0,0,702.284453,406.6065063,578.9667889,83.87199336,34.46990967,30.84412077,94.3487854,65.54180908,2051.98913,0,1592.032609,588.7608696,0,310,0,0,47.20964855,39.96353465,52.84272965,18.7098285,39.62021927,9.30588318,0,0
143,BP 110/02 (717221),ZSK 70.9,22010446,6:00,77.08,3.61,21.01,45.75,03.06.2022 17:30:00,04.06.2022 02:30:00,6/4/2022 6:00,81.89930074,94.96993005,93.7706294,88.17132862,82.8118881,82.88741254,81.80279722,78.94965042,75.26573421,70.23286726,64.93496504,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,0,208,0,0,0,0,0,0,0,0,123.7703018,0,79.28713226,2.059406042,0,0.823762357,0,2.059406042,0,180,0,93.84265734,69.36433555,-2.415278483,0,0,0,0,0,0,0,0,997.489624,1836.56311,556.1153564,163.846283,27.11325455,28.65922737,140.9575653,32.10374451,0,0,0,0,0,0,0,0,65.60500336,-0.135000005,48.0870018,0.18900001,32.08800125,3.243000269,-0.071000002,22.24000168
144,BP 110/02 (717221),ZSK 70.8,22010372,18:00,73.82,4.69,22.33,50.58,03.06.2022 17:30:00,04.06.2022 02:30:00,6/3/2022 18:00,179.6957454,170.041134,154.7248228,144.9659573,145.4468084,144.7652487,130.168795,139.9950352,90.88652488,25.10141869,23.86950324,0,0,0,180,170,155,145,145,145,130,140,90,16,19,0,0,0,1208.234219,1208.202637,721.1924413,0,462.0478299,12.00139047,8.20065052,0,4.803450848,0,721.2000732,0,461.9999695,12,8.199999809,0,4.802750111,0,534.938861,535,86.76009807,180.691489,25.05390091,0.385853772,70.5918868,0,58.79947568,18.65967669,11.22395327,0,33.91837397,0,1021.673708,574.2153931,785.4575001,64.31982757,73.00297828,8.568288803,14.15628191,0,2117.283688,0,1763.503546,559.2765957,336.2340426,0,1016.985816,0,51.9781087,-1.779000044,63.50898183,23.02479534,31.76739873,-0.036773051,11.37724878,0
145,BP 110/02 (717221),ZSK 70.8,22010372,18:00,73.85,4.64,22.39,50.63,03.06.2022 17:30:00,04.06.2022 02:30:00,6/3/2022 18:00,179.6957454,170.041134,154.7248228,144.9659573,145.4468084,144.7652487,130.168795,139.9950352,90.88652488,25.10141869,23.86950324,0,0,0,180,170,155,145,145,145,130,140,90,16,19,0,0,0,1208.234219,1208.202637,721.1924413,0,462.0478299,12.00139047,8.20065052,0,4.803450848,0,721.2000732,0,461.9999695,12,8.199999809,0,4.802750111,0,534.938861,535,86.76009807,180.691489,25.05390091,0.385853772,70.5918868,0,58.79947568,18.65967669,11.22395327,0,33.91837397,0,1021.673708,574.2153931,785.4575001,64.31982757,73.00297828,8.568288803,14.15628191,0,2117.283688,0,1763.503546,559.2765957,336.2340426,0,1016.985816,0,51.9781087,-1.779000044,63.50898183,23.02479534,31.76739873,-0.036773051,11.37724878,0
146,BP 110/02 (717221),ZSK 70.8,22010487,6:00,75.23,4.04,22.01,48.72,02.06.2022 21:35:00,03.06.2022 21:10:00,6/3/2022 6:00,179.6605838,169.8343065,155.1145989,144.9985406,145.5116792,145.1591239,130.1912411,140.0226279,90.89416086,16.23722624,16.90364953,0,0,0,180,170,155,145,145,145,130,140,90,16,19,0,0,0,1208.319604,1208.202637,721.1992495,0,462.1195066,11.99762885,8.201767184,0,4.802131646,0,721.2000732,0,461.9999695,12,8.199999809,0,4.802750111,0,534.9320683,535,87.55435247,180.9299265,16.98175171,0.530812805,70.04588245,0,57.7567935,18.27140499,11.13349573,0,33.30126001,0,1029.700502,574.2153931,798.8505173,65.7139167,73.62466626,8.568288803,14.43318215,0,2100.905109,0,1732.029197,547.6569343,333.5036496,0,998.4890511,0,51.73022884,-1.779000044,64.86036072,19.29194974,28.92375318,-0.07544526,9.131204786,0
147,BP 110/02 (717221),ZSK 70.8,22010487,6:00,75.47,3.97,22.5,49.4,02.06.2022 21:35:00,03.06.2022 21:10:00,6/3/2022 6:00,179.6605838,169.8343065,155.1145989,144.9985406,145.5116792,145.1591239,130.1912411,140.0226279,90.89416086,16.23722624,16.90364953,0,0,0,180,170,155,145,145,145,130,140,90,16,19,0,0,0,1208.319604,1208.202637,721.1992495,0,462.1195066,11.99762885,8.201767184,0,4.802131646,0,721.2000732,0,461.9999695,12,8.199999809,0,4.802750111,0,534.9320683,535,87.55435247,180.9299265,16.98175171,0.530812805,70.04588245,0,57.7567935,18.27140499,11.13349573,0,33.30126001,0,1029.700502,574.2153931,798.8505173,65.7139167,73.62466626,8.568288803,14.43318215,0,2100.905109,0,1732.029197,547.6569343,333.5036496,0,998.4890511,0,51.73022884,-1.779000044,64.86036072,19.29194974,28.92375318,-0.07544526,9.131204786,0
148,BP 110/02 (717221),ZSK 70.8,22010487,18:00,74.72,4.37,22.81,50.67,02.06.2022 21:35:00,03.06.2022 21:10:00,6/3/2022 18:00,179.6957454,170.041134,154.7248228,144.9659573,145.4468084,144.7652487,130.168795,139.9950352,90.88652488,25.10141869,23.86950324,0,0,0,180,170,155,145,145,145,130,140,90,16,19,0,0,0,1208.234219,1208.202637,721.1924413,0,462.0478299,12.00139047,8.20065052,0,4.803450848,0,721.2000732,0,461.9999695,12,8.199999809,0,4.802750111,0,534.938861,535,86.76009807,180.691489,25.05390091,0.385853772,70.5918868,0,58.79947568,18.65967669,11.22395327,0,33.91837397,0,1021.673708,574.2153931,785.4575001,64.31982757,73.00297828,8.568288803,14.15628191,0,2117.283688,0,1763.503546,559.2765957,336.2340426,0,1016.985816,0,51.9781087,-1.779000044,63.50898183,23.02479534,31.76739873,-0.036773051,11.37724878,0
149,BP 110/02 (717221),ZSK 70.8,22010488,9:30,74.34,4.48,22.72,50.8,08.06.2022 02:40:00,08.06.2022 10:45:00,6/8/2022 9:30,180.0263159,170.1135338,155.053384,145.1533833,145.4812027,144.6947371,130.2451128,139.9947368,90.85112791,20.30751875,20.68120313,0,0,0,180,170,155,145,145,145,130,140,90,16,19,0,0,0,1208.273921,1208.202637,721.2081221,0,462.0477221,12.00233633,8.201716954,0,4.800833405,0,721.2000732,0,461.9999695,12,8.199999809,0,4.802750111,0,534.9361563,535,87.01012174,180.2375935,21.0112783,0.4215182,70.10204722,0,58.42000947,17.74222284,11.34003866,0,33.2204788,0,1028.87377,574.2153931,791.1339639,67.62674076,72.27497221,8.568288803,14.46666716,0,2102.541353,0,1751.887218,531.7142857,339.7218045,0,996.1503759,0,52.81214549,-1.779000044,64.45419834,25.45573054,34.24312959,0.394924832,10.01988769,0
150,BP 110/02 (717221),ZSK 70.4,22010450,6:00,77.43,3.24,21.17,45.52,08.06.2022 02:40:00,08.06.2022 10:45:00,6/8/2022 6:00,184.9308511,184.9468085,169.9946809,145.0393617,144.9723404,144.8,165.05,154.9882979,99.99042553,164.9521277,147.8946809,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,799.9832471,800,480.7983119,0,307.9916642,8.000251821,0,3.199954317,0,0,480.7999573,0,308,7.999999523,0,3.199999809,0,0,359.2329787,360,73.90212766,31.85851064,211.2234043,5.189361702,51.30170092,0,49.77850886,8.565106027,0,5.953616781,0,0,936.2218381,583.0073242,620.3715561,93.4967864,35.92990112,53.01782007,250,96.19335938,1538.340426,0,1492.659574,257.7978723,0,178.106383,0,0,46.96275492,0.166006859,47.92066111,15.79094164,15.6492997,10.32045458,0,0
