Typ;Nr;Artikelnr;Artikelbez 1;Plangrp;Sollmenge;Istmenge;Kst Id;Beginn;Ende;
20;18021;800031;G-21;70/7+10;22000;10000;ZSK 70/10;26.02.2022 00:35:00;01.03.2022 05:30:00;
20;18021;800031;G-21;70/7+10;22000;12000;ZSK 70/7;26.02.2022 00:35:00;01.03.2022 05:30:00;
20;18021;800031;G-21;70/7+10;22000;-10000;ZSK 70/10;26.02.2022 00:35:00;01.03.2022 05:30:00;
20;18021;800031;G-21;70/7+10;22000;10000;ZSK 70/10;26.02.2022 00:35:00;28.02.2022 23:59:00;
20;18021;800031;G-21;70/7+10;22000;-12000;ZSK 70/7;26.02.2022 00:35:00;01.03.2022 05:30:00;
20;18021;800031;G-21;70/7+10;22000;12000;ZSK 70/7;26.02.2022 00:35:00;28.02.2022 23:59:00;
