Typ;Nr;Artikelnr;Artikelbez 1;Plangrp;Sollmenge;Istmenge;Kst Id;Beginn;Ende;
20;18284;800031;G-21;70/7+10;22000;10000;ZSK 70/10;17.03.2022 15:45:00;18.03.2022 16:30:00;
20;18284;800031;G-21;70/7+10;22000;12000;ZSK 70/7;17.03.2022 15:45:00;18.03.2022 16:30:00;
