Typ;Nr;Artikelnr;Artikelbez 1;Plangrp;Sollmenge;Istmenge;Kst Id;Beginn;Ende;
20;19714;800031;G-21;70/7;22000;22000;ZSK 70/7;07.11.2022 09:00:00;09.11.2022 21:45:00;
20;19714;800031;G-21;70/7;22000;-22000;ZSK 70/7;07.11.2022 09:00:00;09.11.2022 21:45:00;
20;19714;800031;G-21;70/7;22000;22000;MS02;12.11.2022 00:00:00;12.11.2022 00:00:00;
20;19714;800031;G-21;70/7;22000;-22000;MS02;12.11.2022 00:00:00;12.11.2022 00:00:00;
20;19714;800031;G-21;70/7;22000;22000;ZSK 70/7;07.11.2022 09:00:00;09.11.2022 21:45:00;
