,Produktname,Line,Charge,Uhrzeit,KW,Mitarbeiter,Bezug Nr.,dE*ab(D65),Bewertung,L,a,b,dL*(D65),da*(D65),db*(D65),YI,Helligkeit(D65),a* Bewertung(D65),b* Bewertung(D65),dE00(D65),Date
281,BP 110/02 (717231),ZSK 70.8,22010767,10:00,46,SK,11,2.41,FAIL,76.24,3.85,21.67,1.81,-0.73,-1.42,47.49,"1,81 heller","0,73 weniger rot","1,42 weniger gelb",1.59,1259 (15.11.2022 12:55:56)
282,BP 110/02 (717231),ZSK 70.8,22010765,18:00,46,SK,11,1.69,FAIL,75.8,4.32,22.13,1.36,-0.26,-0.96,48.93,"1,36 heller","0,26 weniger rot","0,96 weniger gelb",1.11,1260 (15.11.2022 12:58:40)
283,BP 110/02 (717231),ZSK 70.8,22010765,18:00 AA,46,SK,11,1.5,FAIL,75.39,4.33,21.95,0.95,-0.25,-1.13,48.83,"0,95 heller","0,25 weniger rot","1,13 weniger gelb",0.9,1261 (15.11.2022 12:59:59)
284,BP 110/02 (717231),ZSK 70.8,22010765,4:24,46,SK,11,1.71,FAIL,75.76,4.24,22.07,1.32,-0.34,-1.02,48.76,"1,32 heller","0,34 weniger rot","1,02 weniger gelb",1.11,1262 (15.11.2022 13:02:22)
285,BP 110/02 (717231),ZSK 70.8,22010767,18:00,46,Trainee,11,2.17,FAIL,76.07,3.89,21.85,1.64,-0.69,-1.24,47.91,"1,64 heller","0,69 weniger rot","1,24 weniger gelb",1.44,1275 (16.11.2022 10:41:51)
286,BP 110/02 (717231),ZSK 70.8,22010767 AA,18:00,46,Trainee,11,1.9,FAIL,75.81,4.02,21.89,1.37,-0.55,-1.2,48.23,"1,37 heller","0,55 weniger rot","1,20 weniger gelb",1.23,1276 (16.11.2022 10:43:15)
287,BP 110/02 (717231),MP,22010767 1-22,4:16,46,Trainee,11,1.8,FAIL,75.65,4.18,21.82,1.22,-0.39,-1.27,48.33,"1,22 heller","0,39 weniger rot","1,27 weniger gelb",1.12,1277 (16.11.2022 10:44:34)
288,BP 110/02 (717231),ZSK 70.8,22010771,7:00,46,Trainee,11,1.94,FAIL,75.74,4,21.76,1.3,-0.58,-1.32,48.02,"1,30 heller","0,58 weniger rot","1,32 weniger gelb",1.23,1317 (17.11.2022 11:45:30)
289,BP 110/02 (717231),ZSK 70.8,22010771,9:33,46,Trainee,11,1.23,FAIL,75.24,4.22,22.23,0.8,-0.36,-0.86,49.27,"0,80 heller","0,36 weniger rot","0,86 weniger gelb",0.77,1318 (17.11.2022 11:47:07)
290,BP 110/02 (717231),ZSK 70.8,22010771,18:00,46,Trainee,11,1.24,FAIL,75.44,4.29,22.42,1,-0.29,-0.67,49.57,"1,00 heller","0,29 weniger rot","0,67 weniger gelb",0.83,1319 (17.11.2022 11:48:31)
291,BP 110/02 (717231),ZSK 70.8,22010771 AA,18:00,46,Trainee,11,1.35,FAIL,75.4,4.3,22.19,0.97,-0.28,-0.9,49.2,"0,97 heller","0,28 weniger rot","0,90 weniger gelb",0.85,1320 (17.11.2022 11:49:46)
292,BP 110/02 (717231),ZSK 70.8,22010771 AA,6:00,46,Trainee,11,1.13,FAIL,75.1,4.46,22.18,0.67,-0.12,-0.9,49.49,"0,67 heller","0,12 weniger rot","0,90 weniger gelb",0.66,1321 (17.11.2022 11:50:59)
293,BP 110/02 (717221),ZSK 70.8,22010772,6:00,46,GL,11,1.04,FAIL,75.05,4.41,22.27,0.62,-0.17,-0.81,49.62,"0,62 heller","0,17 weniger rot","0,81 weniger gelb",0.61,1334 (18.11.2022 11:57:04)
294,BP 110/02 (717221),ZSK 70.8,22010772,18:00,46,GL,11,0.68,PASS,75.09,4.55,22.89,0.65,-0.03,-0.2,50.8,"0,65 heller","0,03 weniger rot","0,20 weniger gelb",0.49,1335 (18.11.2022 12:00:00)
295,BP 110/02 (717221),ZSK 70.8,22010772,18:00 AA,46,GL,11,1.36,FAIL,75.38,4.3,22.16,0.95,-0.28,-0.93,49.16,"0,95 heller","0,28 weniger rot","0,93 weniger gelb",0.85,1336 (18.11.2022 12:03:25)
296,BP 110/02 (717221),ZSK 70.8,22010772,06:00 AA,46,GL,11,1.59,FAIL,75.47,4.23,21.92,1.03,-0.34,-1.16,48.65,"1,03 heller","0,34 weniger rot","1,16 weniger gelb",0.97,1337 (18.11.2022 12:09:04)
297,BP 110/02 (717221),ZSK 70.8,22010772,10:10,46,GL,11,1.46,FAIL,75.56,4.15,22.26,1.13,-0.43,-0.82,49.11,"1,13 heller","0,43 weniger rot","0,82 weniger gelb",0.97,1338 (18.11.2022 12:14:08)
298,BP 110/02 (717221),MP,22010771,14:25 AA,46,GL,11,0.52,PASS,74.94,4.69,23,0.51,0.11,-0.08,51.2,"0,51 heller","0,11 röter","0,08 weniger gelb",0.39,1339 (18.11.2022 12:18:57)
299,BP 110/02 (717221),MP,22010772,,46,LK,11,1.21,FAIL,75.57,4.51,22.69,1.14,-0.07,-0.4,50.18,"1,14 heller","0,07 weniger rot","0,40 weniger gelb",0.86,1356 (21.11.2022 08:09:58)
300,BP 110/02 (717231),ZSK 70.8,22010773,18:00 AA,47,SK,11,1.9,FAIL,75.96,4.04,22.08,1.52,-0.54,-1.01,48.51,"1,52 heller","0,54 weniger rot","1,01 weniger gelb",1.28,1368 (21.11.2022 13:12:01)
301,BP 110/02 (717231),ZSK 70.8,22010773,18:33,47,SK,11,1.81,FAIL,75.8,4.05,22.03,1.37,-0.53,-1.05,48.51,"1,37 heller","0,53 weniger rot","1,05 weniger gelb",1.19,1369 (21.11.2022 13:16:07)
302,BP 110/02 (717231),ZSK 70.8,22010773,9:48,47,SK,11,1.64,FAIL,75.67,4.16,22.1,1.24,-0.42,-0.98,48.8,"1,24 heller","0,42 weniger rot","0,98 weniger gelb",1.07,1370 (21.11.2022 13:19:13)
303,BP 110/02 (717231),ZSK 70.8,22010773,11:30 AA,47,SK,11,1.46,FAIL,75.49,4.37,22.1,1.06,-0.21,-0.98,49.08,"1,06 heller","0,21 weniger rot","0,98 weniger gelb",0.92,1371 (21.11.2022 13:39:34)
304,BP 110/02 (717221),ZSK 70.5,22010797,9:48,47,SK,11,5.14,FAIL,77.15,2.45,19.27,2.71,-2.13,-3.82,41.57,"2,71 heller","2,13 weniger rot","3,82 weniger gelb",3.3,1372 (21.11.2022 13:46:15)
305,BP 110/02 (717221),ZSK 70.4,22010797,10:24,47,LK,11,4.89,FAIL,76.67,2.41,19.32,2.23,-2.17,-3.77,41.81,"2,23 heller","2,17 weniger rot","3,77 weniger gelb",3.13,1373 (21.11.2022 13:56:27)
306,BP 110/02 (717221),ZSK 70.9,22010797,11:10,47,LK,11,2.1,FAIL,76.06,3.79,22.01,1.63,-0.79,-1.08,48.1,"1,63 heller","0,79 weniger rot","1,08 weniger gelb",1.45,1374 (21.11.2022 13:58:23)
307,BP 110/02 (717221),ZSK 70.8,22010774,06:00 AA,47,LK,11,0.37,PASS,74.62,4.57,22.77,0.18,-0.01,-0.32,50.83,"0,18 heller","0,01 weniger rot","0,32 weniger gelb",0.21,1384 (22.11.2022 07:33:30)
308,BP 110/02 (717221),MP,22010798,6:54,47,LK,11,4.65,FAIL,78.08,3,20.67,3.64,-1.58,-2.42,44.17,"3,64 heller","1,58 weniger rot","2,42 weniger gelb",3.18,1387 (22.11.2022 10:23:14)
309,BP 110/02 (717221),ZSK 70.8,22010774,7:13,47,LK,11,1.01,FAIL,75.29,4.32,22.62,0.86,-0.26,-0.47,50.02,"0,86 heller","0,26 weniger rot","0,47 weniger gelb",0.7,1388 (22.11.2022 10:25:01)
310,BP 110/02 (717221),ZSK 70.8,22010774,11:01,47,LK,11,0.15,PASS,74.53,4.6,22.98,0.1,0.02,-0.11,51.28,"0,10 heller","0,02 röter","0,11 weniger gelb",0.1,1392 (22.11.2022 12:07:24)
311,BP 110/02 (717221),ZSK 70.8,22010773,18:00,47,LK,11,1.68,FAIL,75.72,4.08,22.13,1.29,-0.5,-0.95,48.75,"1,29 heller","0,50 weniger rot","0,95 weniger gelb",1.12,1401 (22.11.2022 12:26:16)
312,BP 110/02 (717221),ZSK 70.8,22010773,18:00 AA,47,LK,11,1.13,FAIL,75.33,4.42,22.41,0.9,-0.16,-0.67,49.74,"0,90 heller","0,16 weniger rot","0,67 weniger gelb",0.74,1402 (22.11.2022 12:27:44)
313,BP 110/02 (717221),MP,22010773,20:51,47,LK,11,1.56,FAIL,75.64,4.31,22.13,1.2,-0.26,-0.96,49,"1,20 heller","0,26 weniger rot","0,96 weniger gelb",1.01,1403 (22.11.2022 12:29:37)
314,BP 110/02 (717221),ZSK 70.4,22010797,18:00,47,Trainee,11,6.71,FAIL,78.11,2.23,17.99,3.68,-2.35,-5.09,38.7,"3,68 heller","2,35 weniger rot","5,09 weniger gelb",4.22,1404 (22.11.2022 13:00:54)
315,BP 110/02 (717221),ZSK 70.5,22010797,18:00,47,Trainee,11,5.21,FAIL,77.43,2.32,19.48,3,-2.26,-3.61,41.7,"3,00 heller","2,26 weniger rot","3,61 weniger gelb",3.46,1405 (22.11.2022 13:02:06)
316,BP 110/02 (717221),ZSK 70.9,22010797,18:00,47,Trainee,11,1.7,FAIL,75.96,3.86,22.88,1.52,-0.71,-0.21,49.71,"1,52 heller","0,71 weniger rot","0,21 weniger gelb",1.3,1406 (22.11.2022 13:03:12)
317,BP 110/02 (717221),MP,22010797 1-22,20:57,47,Trainee,11,5.29,FAIL,77.89,2.76,19.52,3.45,-1.82,-3.57,42.01,"3,45 heller","1,82 weniger rot","3,57 weniger gelb",3.42,1407 (22.11.2022 13:04:26)
318,BP 110/02 (717221),ZSK 70.8,22010775,06:00 AA,47,LK,11,1.55,FAIL,75.64,4.15,22.22,1.21,-0.43,-0.87,49,"1,21 heller","0,43 weniger rot","0,87 weniger gelb",1.03,1415 (23.11.2022 08:35:45)
319,BP 110/02 (717221),ZSK 70.8,22010775,6:53,47,LK,11,2.37,FAIL,76.12,3.9,21.57,1.69,-0.68,-1.52,47.41,"1,69 heller","0,68 weniger rot","1,52 weniger gelb",1.53,1416 (23.11.2022 08:37:39)
320,BP 110/02 (717221),ZSK 70.8,22010774,18:00 AA,47,LK,11,1.31,FAIL,75.54,4.31,22.43,1.1,-0.27,-0.66,49.56,"1,10 heller","0,27 weniger rot","0,66 weniger gelb",0.89,1422 (23.11.2022 09:03:25)
321,BP 110/02 (717221),MP,22010774,1:22,47,LK,11,0.69,PASS,74.96,4.5,22.64,0.52,-0.07,-0.44,50.39,"0,52 heller","0,07 weniger rot","0,44 weniger gelb",0.44,1423 (23.11.2022 09:05:08)
322,BP 110/02 (717221),ZSK 70.8,22010774,18:00,47,LK,11,1.08,FAIL,75.31,4.25,22.55,0.87,-0.33,-0.54,49.82,"0,87 heller","0,33 weniger rot","0,54 weniger gelb",0.74,1424 (23.11.2022 09:06:32)
323,BP 110/02 (717221),ZSK 70.4,22010803,6:26,47,LK,11,5.05,FAIL,78.12,2.79,20.14,3.68,-1.79,-2.95,43.03,"3,68 heller","1,79 weniger rot","2,95 weniger gelb",3.4,1439 (24.11.2022 08:52:15)
324,BP 110/02 (717221),ZSK 70.5,22010803,6:26,47,LK,11,3.22,FAIL,77.05,3.32,21.69,2.61,-1.26,-1.4,46.67,"2,61 heller","1,26 weniger rot","1,40 weniger gelb",2.29,1440 (24.11.2022 08:53:29)
325,BP 110/02 (717221),ZSK 70.9,22010803,6:27,47,LK,11,2.87,FAIL,76.66,3.75,21.48,2.23,-0.83,-1.61,46.88,"2,23 heller","0,83 weniger rot","1,61 weniger gelb",1.91,1441 (24.11.2022 08:54:47)
326,BP 110/02 (717231),ZSK 70.8,22010775,18:00 AA,47,SK,11,1.62,FAIL,75.75,4.18,22.23,1.32,-0.39,-0.86,49,"1,32 heller","0,39 weniger rot","0,86 weniger gelb",1.09,1444 (24.11.2022 10:40:28)
327,BP 110/02 (717231),ZSK 70.8,22010775,6:24,47,SK,11,2.46,FAIL,76.13,3.87,21.44,1.69,-0.71,-1.64,47.16,"1,69 heller","0,71 weniger rot","1,64 weniger gelb",1.57,1445 (24.11.2022 10:41:48)
328,BP 110/02 (717231),ZSK 70.8,22010775,6:00,47,SK,11,1.23,FAIL,75.4,4.27,22.38,0.97,-0.31,-0.71,49.51,"0,97 heller","0,31 weniger rot","0,71 weniger gelb",0.82,1446 (24.11.2022 10:43:17)
329,BP 110/02 (717231),ZSK 70.8,22010775,18:00,47,SK,11,3.12,FAIL,76.89,3.62,21.42,2.46,-0.96,-1.67,46.55,"2,46 heller","0,96 weniger rot","1,67 weniger gelb",2.11,1447 (24.11.2022 10:44:30)
330,BP 110/02 (717231),ZSK 70.8,22010776,9:57,47,SK,11,1.1,FAIL,75.15,4.36,22.28,0.72,-0.22,-0.8,49.54,"0,72 heller","0,22 weniger rot","0,80 weniger gelb",0.67,1450 (24.11.2022 10:56:41)
331,BP 110/02 (717221),ZSK 70.9,NIR 22010803 - 1VAL,7:42,47,Trainee,11,2.74,FAIL,76.6,3.81,21.59,2.16,-0.76,-1.49,47.16,"2,16 heller","0,76 weniger rot","1,49 weniger gelb",1.83,1451 (24.11.2022 11:03:42)
332,BP 110/02 (717221),MP,22010775,10:30,47,LK,11,1.57,FAIL,75.68,4.18,22.22,1.24,-0.4,-0.87,49.01,"1,24 heller","0,40 weniger rot","0,87 weniger gelb",1.04,1458 (24.11.2022 12:42:24)
333,BP 110/02 (717221),MP,22010803 1-22,13:28,47,SK,11,3.23,FAIL,77.15,3.32,21.88,2.71,-1.26,-1.21,46.95,"2,71 heller","1,26 weniger rot","1,21 weniger gelb",2.34,1466 (24.11.2022 13:39:59)
334,BP 110/02 (717231),ZSK 70.8,22010776,9:51,47,SK,11,1.12,FAIL,75.07,4.49,22.17,0.64,-0.09,-0.92,49.5,"0,64 heller","0,09 weniger rot","0,92 weniger gelb",0.65,1467 (25.11.2022 12:28:46)
335,BP 110/02 (717221),MP,22010805 1-22,10:09,47,SK,11,4.23,FAIL,77.4,3.15,20.42,2.97,-1.43,-2.66,44.16,"2,97 heller","1,43 weniger rot","2,66 weniger gelb",2.78,1470 (25.11.2022 12:55:58)
336,BP 110/02 (717221),ZSK 70.8,22010777,18:00,47,LK,11,1.44,FAIL,75.35,4.23,22.02,0.91,-0.35,-1.06,48.87,"0,91 heller","0,35 weniger rot","1,06 weniger gelb",0.88,1483 (28.11.2022 08:33:59)
337,BP 110/02 (717221),ZSK 70.8,22010777,18:00 AA,47,LK,11,2.31,FAIL,76.18,4.12,21.64,1.75,-0.46,-1.45,47.72,"1,75 heller","0,46 weniger rot","1,45 weniger gelb",1.49,1484 (28.11.2022 08:35:28)
338,BP 110/02 (717221),MP,22010776,12:49,47,LK,11,1.37,FAIL,75.37,4.36,22.12,0.94,-0.22,-0.97,49.15,"0,94 heller","0,22 weniger rot","0,97 weniger gelb",0.84,1487 (28.11.2022 10:59:15)
339,BP 110/02 (717221),ZSK 70.4,22010806,18:00,47,LK,11,5.03,FAIL,77.98,2.66,20.07,3.55,-1.92,-3.01,42.85,"3,55 heller","1,92 weniger rot","3,01 weniger gelb",3.4,1490 (28.11.2022 11:04:16)
340,BP 110/02 (717221),ZSK 70.5,22010806,18:00,47,LK,11,3.74,FAIL,77.18,3.19,20.96,2.75,-1.39,-2.13,45.22,"2,75 heller","1,39 weniger rot","2,13 weniger gelb",2.54,1491 (28.11.2022 11:05:25)
341,BP 110/02 (717221),ZSK 70.9,22010806,18:00,47,LK,11,3.81,FAIL,77.44,3.29,21.12,3.01,-1.28,-1.96,45.49,"3,01 heller","1,28 weniger rot","1,96 weniger gelb",2.61,1492 (28.11.2022 11:06:21)
342,BP 110/02 (717221),MP,22010806,3:28,47,LK,11,4.02,FAIL,77.57,3.17,21,3.14,-1.41,-2.09,45.11,"3,14 heller","1,41 weniger rot","2,09 weniger gelb",2.76,1493 (28.11.2022 11:07:28)
343,BP 110/02 (717231),ZSK 70.8,22010777,Dec-15,48,SK,11,1.4,FAIL,74.71,4.54,21.71,0.27,-0.04,-1.38,48.92,"0,27 heller","0,04 weniger rot","1,38 weniger gelb",0.73,1500 (28.11.2022 14:03:49)
344,BP 110/02 (717231),ZSK 70.8,22010777,12-Oct,48,SK,11,1.01,FAIL,74.94,4.72,22.22,0.5,0.14,-0.87,49.87,"0,50 heller","0,14 röter","0,87 weniger gelb",0.62,1501 (28.11.2022 14:04:59)
345,BP 110/02 (717231),ZSK 70.8,22010780,6:00,48,SK,11,1.07,FAIL,74.24,4.62,22.03,-0.2,0.04,-1.05,49.79,"0,20 dunkler","0,04 röter","1,05 weniger gelb",0.57,1512 (29.11.2022 09:17:14)
346,BP 110/02 (717231),ZSK 70.8,22010780,6:00,48,SK,11,1.65,FAIL,74.78,4.4,21.48,0.35,-0.18,-1.6,48.36,"0,35 heller","0,18 weniger rot","1,60 weniger gelb",0.84,1513 (29.11.2022 09:20:45)
347,BP 110/02 (717221),ZSK 70.8,22010777,18:00,48,LK,11,1.45,FAIL,75.39,4.34,22.02,0.96,-0.24,-1.07,48.95,"0,96 heller","0,24 weniger rot","1,07 weniger gelb",0.89,1516 (29.11.2022 10:04:17)
348,BP 110/02 (717221),MP,22010777,20:01,48,LK,11,1.21,FAIL,75.37,4.43,22.33,0.93,-0.15,-0.76,49.59,"0,93 heller","0,15 weniger rot","0,76 weniger gelb",0.78,1517 (29.11.2022 10:05:32)
349,BP 110/02 (717221),ZSK 70.8,22010781,6:00,48,LK,11,1.57,FAIL,75.43,4.36,21.89,1,-0.22,-1.19,48.74,"1,00 heller","0,22 weniger rot","1,19 weniger gelb",0.94,1530 (30.11.2022 08:22:32)
350,BP 110/02 (717221),ZSK 70.8,22010781,06:00 AA,48,LK,11,0.87,Warnung,75.07,4.52,22.49,0.63,-0.06,-0.6,50.09,"0,63 heller","0,06 weniger rot","0,60 weniger gelb",0.55,1531 (30.11.2022 08:24:04)
351,BP 110/02 (717221),ZSK 70.8,22010780,18:00,48,LK,11,1.23,FAIL,75.32,4.41,22.25,0.89,-0.17,-0.84,49.45,"0,89 heller","0,17 weniger rot","0,84 weniger gelb",0.77,1547 (30.11.2022 12:25:33)
352,BP 110/02 (717221),MP,22010780,20:45,48,LK,11,1.5,FAIL,75.46,4.38,22.01,1.03,-0.19,-1.08,48.94,"1,03 heller","0,19 weniger rot","1,08 weniger gelb",0.93,1548 (30.11.2022 12:26:44)
353,BP 110/02 (717221),ZSK 70.8,22010824,06:00 AA,48,LK,11,2.36,FAIL,75.92,4.12,21.31,1.49,-0.46,-1.78,47.27,"1,49 heller","0,46 weniger rot","1,78 weniger gelb",1.42,1570 (01.12.2022 11:06:57)
354,BP 110/02 (717221),ZSK 70.8,22010824,6:00,48,LK,11,1.24,FAIL,75.15,4.29,22.11,0.72,-0.29,-0.97,49.18,"0,72 heller","0,29 weniger rot","0,97 weniger gelb",0.73,1571 (01.12.2022 11:08:10)
355,BP 110/02 (717221),ZSK 70.8,22010824,8:40,48,LK,11,1.43,FAIL,75.05,4.31,21.83,0.61,-0.27,-1.26,48.75,"0,61 heller","0,27 weniger rot","1,26 weniger gelb",0.78,1572 (01.12.2022 11:10:02)
356,BP 110/02 (717221),ZSK 70.8,22010781,18:00,48,LK,11,1.69,FAIL,75.31,4.26,21.68,0.88,-0.32,-1.41,48.32,"0,88 heller","0,32 weniger rot","1,41 weniger gelb",0.96,1587 (01.12.2022 13:00:01)
357,BP 110/02 (717221),MP,22010781,18:44,48,LK,11,2.48,FAIL,76.29,4.12,21.5,1.85,-0.46,-1.58,47.43,"1,85 heller","0,46 weniger rot","1,58 weniger gelb",1.59,1588 (01.12.2022 13:35:26)
358,BP 110/02 (717221),ZSK 70.8,22010824,18:00,48,LK,11,1.84,FAIL,75.55,4.23,21.66,1.12,-0.35,-1.42,48.16,"1,12 heller","0,35 weniger rot","1,42 weniger gelb",1.1,1596 (02.12.2022 08:18:24)
359,BP 110/02 (717221),MP,22010824,20:41,48,LK,11,2.44,FAIL,75.9,4.19,21.17,1.46,-0.39,-1.91,47.1,"1,46 heller","0,39 weniger rot","1,91 weniger gelb",1.44,1597 (02.12.2022 08:20:19)
360,BP 110/02 (717221),ZSK 70.8,22010825 06.00 AA,6:00,48,LK,11,0.8,Warnung,74.88,4.65,22.43,0.45,0.07,-0.65,50.21,"0,45 heller","0,07 röter","0,65 weniger gelb",0.49,1598 (02.12.2022 08:22:09)
361,BP 110/02 (717221),ZSK 70.8,22010825 06.05,6:05,48,LK,11,4.81,FAIL,69.97,5.97,21.97,-4.46,1.39,-1.12,53.18,"4,46 dunkler","1,39 röter","1,12 weniger gelb",3.73,1599 (02.12.2022 08:23:34)
362,BP 110/02 (717221),ZSK 70.8,22010825,7:30,48,LK,11,2.16,FAIL,75.41,4.09,21.21,0.97,-0.49,-1.87,47.3,"0,97 heller","0,49 weniger rot","1,87 weniger gelb",1.21,1600 (02.12.2022 08:25:05)
363,BP 110/02 (717221),ZSK 70.8,22010825,18:00,48,LK,11,1.64,FAIL,74.67,4.16,21.52,0.23,-0.42,-1.57,48.24,"0,23 heller","0,42 weniger rot","1,57 weniger gelb",0.83,1630 (05.12.2022 12:28:55)
364,BP 110/02 (717221),MP,22010825,2:43,48,LK,11,1.7,FAIL,74.74,4.31,21.43,0.3,-0.27,-1.65,48.2,"0,30 heller","0,27 weniger rot","1,65 weniger gelb",0.86,1631 (05.12.2022 12:30:08)
365,BP 110/02 (717221),ZSK 70.8,22010826,09:15 AA,49,LK,11,0.77,Warnung,74.34,4.93,22.41,-0.09,0.35,-0.68,50.7,"0,09 dunkler","0,35 röter","0,68 weniger gelb",0.55,1643 (05.12.2022 12:59:49)
366,BP 110/02 (717221),ZSK 70.8,22010826,10:52,49,LK,11,1.59,FAIL,75.4,4.15,21.91,0.97,-0.43,-1.18,48.57,"0,97 heller","0,43 weniger rot","1,18 weniger gelb",0.96,1644 (05.12.2022 13:01:18)
367,BP 110/02 (717221),ZSK 70.8,22010826,18:03,49,Trainee,11,0.96,Warnung,75.2,4.39,22.55,0.77,-0.18,-0.54,50.01,"0,77 heller","0,18 weniger rot","0,54 weniger gelb",0.63,1664 (06.12.2022 11:56:33)
368,BP 110/02 (717221),ZSK 70.8,22010826 AA,18:00,49,Trainee,11,1.02,FAIL,75.25,4.37,22.5,0.81,-0.21,-0.58,49.88,"0,81 heller","0,21 weniger rot","0,58 weniger gelb",0.68,1665 (06.12.2022 11:58:07)
369,BP 110/02 (717221),ZSK 70.8,22010826 AA,6:00,49,Trainee,11,1.48,FAIL,75.13,4.27,21.82,0.7,-0.31,-1.26,48.66,"0,70 heller","0,31 weniger rot","1,26 weniger gelb",0.83,1666 (06.12.2022 11:59:19)
370,BP 110/02 (717221),ZSK 70.8,22010826,6:20,49,Trainee,11,1.69,FAIL,75.23,4.1,21.67,0.8,-0.48,-1.41,48.19,"0,80 heller","0,48 weniger rot","1,41 weniger gelb",0.96,1667 (06.12.2022 12:00:31)
371,BP 110/02 (717221),ZSK 70.8,22010826 1-22,9:00,49,Trainee,11,1.74,FAIL,75.32,4.24,21.63,0.88,-0.33,-1.46,48.21,"0,88 heller","0,33 weniger rot","1,46 weniger gelb",0.99,1668 (06.12.2022 12:01:56)
372,BP 110/02 (717221),ZSK 70.8,22010827,18:11,49,AK,11,0.88,Warnung,75.16,4.44,22.61,0.73,-0.14,-0.48,50.17,"0,73 heller","0,14 weniger rot","0,48 weniger gelb",0.59,1714 (07.12.2022 14:16:01)
373,BP 110/02 (717221),ZSK 70.8,22010827,18:00,49,AK,11,0.52,PASS,74.93,4.67,22.98,0.5,0.1,-0.11,51.16,"0,50 heller","0,10 röter","0,11 weniger gelb",0.38,1715 (07.12.2022 14:17:47)
374,BP 110/02 (717221),ZSK 70.8,22010827,6:00,49,AK,11,1.05,FAIL,75.33,4.38,22.58,0.89,-0.2,-0.51,49.99,"0,89 heller","0,20 weniger rot","0,51 weniger gelb",0.71,1716 (07.12.2022 14:23:17)
375,BP 110/02 (717221),ZSK 70.8,22010827,6:02,49,AK,11,1.43,FAIL,75.57,4.32,22.25,1.13,-0.26,-0.84,49.26,"1,13 heller","0,26 weniger rot","0,84 weniger gelb",0.94,1717 (07.12.2022 14:24:22)
376,BP 110/02 (717221),MP,22010827,11:10,49,AK,11,1.36,FAIL,75.61,4.35,22.44,1.18,-0.23,-0.65,49.59,"1,18 heller","0,23 weniger rot","0,65 weniger gelb",0.93,1718 (07.12.2022 14:25:33)
377,BP 110/02 (717221),ZSK 70.8,22010828,18:00,49,JH,11,0.62,PASS,74.93,4.57,22.73,0.5,-0.01,-0.36,50.61,"0,50 heller","0,01 weniger rot","0,36 weniger gelb",0.41,1746 (08.12.2022 09:09:21)
378,BP 110/02 (717221),ZSK 70.8,22010828,18:17,49,JH,11,1.46,FAIL,75.46,4.22,22.11,1.02,-0.35,-0.98,48.97,"1,02 heller","0,35 weniger rot","0,98 weniger gelb",0.92,1747 (08.12.2022 09:10:51)
379,BP 110/02 (717221),ZSK 70.8,22010828,6:00,49,JH,11,0.99,FAIL,74.98,4.46,22.26,0.54,-0.11,-0.82,49.69,"0,54 heller","0,11 weniger rot","0,82 weniger gelb",0.57,1748 (08.12.2022 09:11:55)
380,BP 110/02 (717221),ZSK 70.8,22010828,6:17,49,JH,11,0.63,PASS,74.59,4.45,22.49,0.15,-0.13,-0.6,50.26,"0,15 heller","0,13 weniger rot","0,60 weniger gelb",0.32,1749 (08.12.2022 09:12:53)
381,BP 110/02 (717221),ZSK 70.8,22010829,18:00,49,JH,11,0.85,Warnung,74.99,4.29,22.52,0.56,-0.29,-0.57,49.96,"0,56 heller","0,29 weniger rot","0,57 weniger gelb",0.54,1762 (09.12.2022 07:43:39)
382,BP 110/02 (717221),ZSK 70.8,22010829,6:00,49,JH,11,1.16,FAIL,75.07,4.34,22.15,0.64,-0.24,-0.94,49.33,"0,64 heller","0,24 weniger rot","0,94 weniger gelb",0.67,1763 (09.12.2022 07:45:44)
383,BP 110/02 (717221),ZSK 70.8,22010829,6:00,49,JH,11,0.59,PASS,74.33,4.47,22.52,-0.1,-0.11,-0.57,50.45,"0,10 dunkler","0,11 weniger rot","0,57 weniger gelb",0.29,1764 (09.12.2022 07:46:41)
384,BP 110/02 (717221),MP,22010829,16:11,49,LK,11,0.55,PASS,74.84,4.55,22.71,0.41,-0.03,-0.37,50.62,"0,41 heller","0,03 weniger rot","0,37 weniger gelb",0.35,1778 (12.12.2022 07:47:47)
385,BP 110/02 (717221),ZSK 70.8,22010830,18:00,49,LK,11,0.75,PASS,74.99,4.54,22.58,0.55,-0.04,-0.5,50.31,"0,55 heller","0,04 weniger rot","0,50 weniger gelb",0.48,1789 (12.12.2022 09:36:23)
386,BP 110/02 (717221),ZSK 70.8,22010830,18:27,49,LK,11,0.64,PASS,74.94,4.47,22.72,0.51,-0.11,-0.37,50.5,"0,51 heller","0,11 weniger rot","0,37 weniger gelb",0.42,1790 (12.12.2022 09:37:25)
387,BP 110/02 (717221),ZSK 70.4,22010841,10:10,50,LK,11,6.12,FAIL,78.09,2.77,18.52,3.65,-1.8,-4.57,40.16,"3,65 heller","1,80 weniger rot","4,57 weniger gelb",3.79,1798 (12.12.2022 12:38:33)
388,BP 110/02 (717221),ZSK 70.5,22010841,9:40,50,LK,11,4.03,FAIL,77.27,2.96,20.72,2.83,-1.62,-2.36,44.56,"2,83 heller","1,62 weniger rot","2,36 weniger gelb",2.74,1799 (12.12.2022 12:39:56)
389,BP 110/02 (717221),ZSK 70.5,22010841,10:39,50,LK,11,4.82,FAIL,77.89,2.73,20.28,3.46,-1.85,-2.8,43.32,"3,46 heller","1,85 weniger rot","2,80 weniger gelb",3.28,1800 (12.12.2022 12:41:35)
