,Produktname,Line,Charge,Uhrzeit,KW,Mitarbeiter,Bezug Nr.,dE*ab(D65),Bewertung,L,a,b,dL*(D65),da*(D65),db*(D65),YI,Helligkeit(D65),a* Bewertung(D65),b* Bewertung(D65),dE00(D65),Date
201,BP 110/02 (717231),ZSK 70.8,22010707,6:00,41,LK,11,1.65,FAIL,75.82,4.18,22.28,1.39,-0.4,-0.8,49.06,"1,39 heller","0,40 weniger rot","0,80 weniger gelb",1.13,696 (13.10.2022 08:02:33)
202,BP 110/02 (717231),ZSK 70.8,22010707,9:00,41,SK,11,1.23,FAIL,75.38,4.38,22.33,0.94,-0.2,-0.76,49.54,"0,94 heller","0,20 weniger rot","0,76 weniger gelb",0.79,705 (13.10.2022 09:45:07)
203,BP 110/02 (717231),MP,22010707 1-21,13:15,41,Trainee,11,0.88,Warnung,75.17,4.58,22.61,0.73,0.01,-0.48,50.31,"0,73 heller","0,01 röter","0,48 weniger gelb",0.59,714 (13.10.2022 13:42:08)
204,BP 110/02 (717231),ZSK 70.4,22010751,6:00,41,LK,11,3.26,FAIL,77.23,3.21,22.13,2.8,-1.37,-0.96,47.24,"2,80 heller","1,37 weniger rot","0,96 weniger gelb",2.43,722 (14.10.2022 08:16:46)
205,BP 110/02 (717231),ZSK 70.9,22010751,6:00,41,LK,11,1.62,FAIL,75.88,4.12,22.53,1.44,-0.46,-0.56,49.39,"1,44 heller","0,46 weniger rot","0,56 weniger gelb",1.15,723 (14.10.2022 08:18:12)
206,BP 110/02 (717231),ZSK 70.4,22010750,18:00,41,LK,11,2.99,FAIL,76.74,3.43,21.56,2.3,-1.15,-1.52,46.69,"2,30 heller","1,15 weniger rot","1,52 weniger gelb",2.08,728 (14.10.2022 08:30:51)
207,BP 110/02 (717231),ZSK 70.9,22010750,18:00,41,LK,11,0.75,PASS,75.11,4.26,23,0.67,-0.32,-0.08,50.71,"0,67 heller","0,32 weniger rot","0,08 weniger gelb",0.58,729 (14.10.2022 08:32:03)
208,BP 110/02 (717231),MP,22010750,21:34,41,LK,11,0.64,PASS,75,4.36,22.88,0.57,-0.22,-0.2,50.65,"0,57 heller","0,22 weniger rot","0,20 weniger gelb",0.47,730 (14.10.2022 08:33:17)
209,BP 110/02 (717221),1-3+20+22,22010507,,41,LK,11,1.88,FAIL,76.27,4.28,23.32,1.84,-0.3,0.23,50.71,"1,84 heller","0,30 weniger rot","0,23 gelber",1.38,741 (14.10.2022 11:33:09)
210,BP 110/02 (717231),MP,22010751,16:07,41,LK,11,2.72,FAIL,76.47,3.73,21.5,2.04,-0.85,-1.59,46.98,"2,04 heller","0,85 weniger rot","1,59 weniger gelb",1.8,743 (15.10.2022 08:19:16)
