,Produktname,Produktionsanlage,Charge,Uhrzeit,L*(D65),a*(D65),b*(D65),YI(E313-98)(D65)
68,BP 110/02 (717221),ZSK 70.9,22010401,6:00,76.49,3.66,22,47.77
69,BP 110/02 (717221),ZSK 70.9,22010400,18:00,76.62,3.59,21.45,46.69
70,BP 110/02 (717221),ZSK 70.4,22010400,18:00,76.27,3.72,22.6,48.95
71,BP 110/02 (717221),ZSK 70.5,22010400,18:00,75.66,3.88,22.86,49.85
72,BP 110/02 (717221),ZSK 70.8,99220320,18:00,73.32,4.78,23.47,52.9
73,BP 110/02 (717221),ZSK 70.8,99220320,18:00,73.65,4.69,23.44,52.59
74,BP 110/02 (717221),ZSK 70.8,22010363,6:00,75.17,4.22,22.43,49.66
75,BP 110/02 (717221),ZSK 70.4,22010403,18:00,76.61,3.6,22.47,48.47
76,BP 110/02 (717221),ZSK 70.9,22010403,18:00,77.18,3.52,21.75,46.91
77,BP 110/02 (717221),ZSK 70.5,22010403,18:00,76.26,3.77,22.13,48.19
78,BP 110/02 (717221),ZSK 70.9,22010403,18:00,76.32,3.82,22.84,49.45
79,BP 110/02 (717221),ZSK 70.8,22010363,6:00,74.33,4.33,22.34,50.01
80,BP 110/02 (717221),ZSK 70.4,22010404,6:00,75.76,3.7,22.72,49.38
81,BP 110/02 (717221),ZSK 70.9,22010404,6:00,77.18,3.25,22.1,47.24
82,BP 110/02 (717221),ZSK 70.8,22010363,18:00,75.49,3.87,22.69,49.61
83,BP 110/02 (717221),ZSK 70.5,22010406,8:00,76,3.82,23.9,51.38
84,BP 110/02 (717221),ZSK 70.4,22010406,8:00,74.71,4.19,23.49,51.67
85,BP 110/02 (717221),ZSK 70.8,22010364,9:00,75.26,4.12,22.35,49.37
86,BP 110/02 (717221),ZSK 70.8,22010364,9:10,75.07,4.41,23.1,51.03
87,BP 110/02 (717221),ZSK 70.8,22010364,10:00,75.42,4,22.02,48.61
88,BP 110/02 (717221),ZSK 70.4,22010408,6:00,75.16,4.07,23.63,51.57
89,BP 110/02 (717221),ZSK 70.5,22010408,6:00,76.09,3.65,23.27,50.11
90,BP 110/02 (717221),ZSK 70.9,22010408,6:00,76.53,3.8,22.84,49.33
91,BP 110/02 (717221),ZSK 70.8,22010365,6:00,73.43,4.88,23.19,52.47
92,BP 110/02 (717221),ZSK 70.8,22010364,18:00,74.83,4.33,22.43,49.93
93,BP 110/02 (717221),ZSK 70.8,22010366,6:00,74.08,4.66,22.43,50.61
94,BP 110/02 (717221),ZSK 70.4,22010409,6:00,76.2,3.15,21.18,45.99
95,BP 110/02 (717221),ZSK 70.5,22010409,6:00,76.33,3.77,22.37,48.59
96,BP 110/02 (717221),ZSK 70.8,22010366,11:40,73.98,4.82,23.12,52.01
97,BP 110/02 (717221),ZSK 70.8,22010366,13:14,74.01,4.78,23.35,52.34
98,BP 110/02 (717221),ZSK 70.8,22010366,18:00,74.97,4.33,22.52,50.02
99,BP 110/02 (717221),ZSK 70.4,22010410,18:00,78.49,2.31,20.43,42.94
100,BP 110/02 (717221),ZSK 70.5,22010410,18:00,77.37,3.28,21.88,46.81
101,BP 110/02 (717221),ZSK 70.9,22010410,18:00,77.54,3.06,22.12,46.95
102,BP 110/02 (717221),ZSK 70.8,22010367,8:20,73.29,4.8,22.86,51.88
103,BP 110/02 (717221),ZSK 70.8,22010367,18:00,73.38,4.91,22.86,51.94
104,BP 110/02 (717221),ZSK 70.4,22010411,8:30,77.51,3.01,21.02,45.02
105,BP 110/02 (717221),ZSK 70.5,22010411,8:30,76.28,3.86,22.67,49.2
106,BP 110/02 (717221),ZSK 70.9,22010411,8:20,76.63,3.86,21.23,46.58
107,BP 110/02 (717221),ZSK 70.8,22010368,6:00,73.29,4.84,23.02,52.2
108,BP 110/02 (717221),ZSK 70.8,22010368,6:00,72.87,5.01,23.28,53.03
109,BP 110/02 (717221),ZSK 70.4,22010413,6:00,77.85,2.77,20.25,43.32
110,BP 110/02 (717221),ZSK 70.5,22010413,6:00,76.36,3.68,22.51,48.73
111,BP 110/02 (717221),ZSK 70.9,22010413,6:00,76.79,3.61,22.65,48.72
112,BP 110/02 (717221),ZSK 70.4,22010412,18:00,76.92,3.22,21.48,46.27
113,BP 110/02 (717221),ZSK 70.5,22010412,18:00,75.86,3.89,22.66,49.41
114,BP 110/02 (717221),ZSK 70.9,22010412,18:00,76.49,3.75,22.18,48.17
115,BP 110/02 (717221),ZSK 70.8,22010367,18:00,72.46,5.09,22.85,52.57
116,BP 110/02 (717221),ZSK 70.8,22010367,18:00,73.04,5.17,23.36,53.23
117,BP 110/02 (717221),ZSK 70.8,22010368,11:50,73.51,4.9,23.21,52.47
118,BP 110/02 (717221),ZSK 70.8,22010368,11:15,74,4.61,22.86,51.33
119,BP 110/02 (717221),ZSK 70.8,22010368,13:00,73.83,4.87,23.12,52.13
120,BP 110/02 (717221),ZSK 70.8,22010368,15:20,73.15,5.27,23.42,53.4
121,BP 110/02 (717221),ZSK 70.8,22010368,18:00,73.95,4.69,22.95,51.6
122,BP 110/02 (717221),ZSK 70.8,22010368,23:35,73.91,4.69,23.13,51.93
123,BP 110/02 (717221),ZSK 70.8,22010368,18:00,74.4,4.5,22.98,51.24
124,BP 110/02 (717221),ZSK 70.8,22010368,15:55,74.02,4.56,22.77,51.13
125,BP 110/02 (717221),ZSK 70.8,22010369,6:00,73.73,4.81,23.49,52.76
126,BP 110/02 (717221),ZSK 70.8,22010369,6:00,74.14,4.51,22.51,50.56
127,BP 110/02 (717221),ZSK 70.9,22010436,6:00,76.42,3.66,21.7,47.29
128,BP 110/02 (717221),ZSK 70.9,22010436,7:40,76.87,3.82,21.88,47.54
129,BP 110/02 (717221),ZSK 70.4,22010436,6:00,77.56,2.68,21.37,45.31
130,BP 110/02 (717221),ZSK 70.5,22010436,6:00,66.99,2.49,15.19,37.86
131,BP 110/02 (717221),ZSK 70.11,99220369,0:16,77.78,3.1,20.03,43.27
132,BP 110/02 (717221),ZSK 70.4,22010435,18:00,78.27,2.9,20.52,43.73
133,BP 110/02 (717221),ZSK 70.5,22010435,18:00,76.59,3.82,22.07,47.99
134,BP 110/02 (717221),ZSK 70.9,22010435,18:00,76.39,4.21,21.63,47.71
135,BP 110/02 (717221),ZSK 70.8,22010369,18:00,74.34,4.52,22.96,51.26
136,BP 110/02 (717221),ZSK 70.4,22010438,6:00,77.4,3,21.26,45.47
137,BP 110/02 (717221),ZSK 70.5,22010438,6:00,76.85,3.4,21.26,46.09
138,BP 110/02 (717221),ZSK 70.9,22010438,6:00,76.63,3.73,22.22,48.16
139,BP 110/02 (717221),ZSK 70.4,22010437,18:00,78.81,2.63,19.94,42.26
140,BP 110/02 (717221),ZSK 70.5,22010437,18:00,76.85,3.66,21.45,46.65
141,BP 110/02 (717221),ZSK 70.8,22010371,6:00,74.41,4.53,22.57,50.55
142,BP 110/02 (717221),ZSK 70.5,22010439,18:00,77.08,3.48,21.95,47.25
143,BP 110/02 (717221),ZSK 70.9,22010439,18:00,77.62,3.67,20.82,45.25
144,BP 110/02 (717221),ZSK 70.4,22010439,18:00,77.27,3.12,21.95,46.84
145,BP 110/02 (717221),ZSK 70.5,22010441,7:15,75.97,3.85,22.37,48.83
146,BP 110/02 (717221),ZSK 70.4,22010441,6:00,78.11,2.93,20.74,44.21
147,BP 110/02 (717221),ZSK 70.5,22010441,6:00,77.03,3.37,21.35,46.13
148,BP 110/02 (717221),ZSK 70.9,22010441,6:00,77.41,3.6,20.96,45.52
149,BP 110/02 (717221),ZSK 70.8,22010370,18:00,74.56,4.42,22.83,50.83
150,BP 110/02 (717221),ZSK 70.4,22010443,18:00,77.81,3.15,20.7,44.47
