,Produktname,Produktionsanlage,Charge,Uhrzeit,L*(D65),a*(D65),b*(D65),YI(E313-98)(D65)
299,BP 110/02 (717221),ZSK 70.5,22010533,18:00,74.46,4.88,23.97,53.27
300,BP 110/02 (717221),ZSK 70.9,22010533,18:00,74.38,4.58,23.79,52.73
301,BP 110/02 (717221),ZSK 70.8,22010515,6:00,72.67,5.57,24.85,56.39
302,BP 110/02 (717221),ZSK 70.4,22010537,6:00,75.5,4.38,24.41,53.03
303,BP 110/02 (717221),ZSK 70.5,22010537,6:00,74.71,4.83,23.93,53.04
304,BP 110/02 (717221),ZSK 70.9,22010537,6:00,74.78,4.52,23.66,52.24
305,BP 110/02 (717221),ZSK 70.4,22010536,18:00,77.59,3.49,22.22,47.5
306,BP 110/02 (717221),ZSK 70.5,22010536,18:00,76.25,4.01,22.55,49.16
307,BP 110/02 (717221),ZSK 70.9,22010536,18:00,75.68,4.2,23.01,50.4
308,BP 110/02 (717221),ZSK 70.8,22010514,18:00,73.29,5.28,24.89,55.83
309,BP 110/02 (717221),ZSK 70.8,22010515,18:00,72.29,5.67,24.92,56.8
310,BP 110/02 (717221),ZSK 70.8,22010515,6:00,70.88,6.26,25.62,59.39
311,BP 110/02 (717221),ZSK 70.8,22010515,6:00,71.93,5.73,25.29,57.7
312,BP 110/02 (717221),ZSK 70.4,22010539,6:00,77.87,2.57,20.38,43.36
313,BP 110/02 (717221),ZSK 70.5,22010539,6:00,74.75,4.2,24,52.53
314,BP 110/02 (717221),ZSK 70.9,22010539,6:00,74.79,4.4,24.06,52.8
315,BP 110/02 (717221),ZSK 70.4,22010538,18:00,78.65,2.55,20.62,43.43
316,BP 110/02 (717221),ZSK 70.5,22010538,18:00,75.23,4.42,22.93,50.68
317,BP 110/02 (717221),ZSK 70.4,22010540,18:00,78.94,2.08,20.84,43.26
318,BP 110/02 (717221),ZSK 70.5,22010540,18:00,75.92,3.8,23.61,50.92
319,BP 110/02 (717221),ZSK 70.9,22010540,18:00,76,3.7,23.7,50.93
320,BP 110/02 (717221),ZSK 70.8,22010516,18:00,72.53,5.4,25.32,57.08
321,BP 110/02 (717221),ZSK 70.8,22010516,9:30,72.36,5.83,25.55,58.01
322,BP 110/02 (717221),ZSK 70.4,22010542,9:30,76.42,3.59,23.7,50.64
323,BP 110/02 (717221),ZSK 70.5,22010542,9:30,75.7,3.98,23.52,51.03
324,BP 110/02 (717221),ZSK 70.9,22010542,9:30,75.12,4.32,23.72,51.98
325,BP 110/02 (717221),ZSK 70.4,22010542,18:00,76.66,3.47,22.28,48
326,BP 110/02 (717221),ZSK 70.9,22010542,18:00,73.92,5.06,24.87,55.26
327,BP 110/02 (717221),ZSK 70.8,22010517,18:00,74.12,4.83,24.11,53.65
328,BP 110/02 (717221),ZSK 70.8,22010517,6:00,74.34,4.74,23.44,52.29
329,BP 110/02 (717221),ZSK 70.8,22010518,18:00,73.72,5.22,23.94,53.94
330,BP 110/02 (717221),ZSK 70.8,22010518,6:00,72.09,5.96,25.14,57.58
331,BP 110/02 (717221),ZSK 70.8,22010518,10:00,72.39,5.69,25.23,57.31
332,BP 110/02 (717221),ZSK 70.8,22010519,6:00,72.62,5.61,24.9,56.53
333,BP 110/02 (717221),ZSK 70.8,22010518,18:00,71.4,6.22,25.57,58.97
334,BP 110/02 (717221),ZSK 70.8,22010622,6:00,71.96,5.78,24.92,57.1
335,BP 110/02 (717221),ZSK 70.8,22010519,18:00,73.33,5.26,24.86,55.75
336,BP 110/02 (717221),ZSK 70.8,22010295,18:00,73.08,5.02,23.13,52.67
337,BP 110/02 (717221),ZSK 70.8,22010295,10:00,73.74,4.78,22.62,51.21
338,BP 110/02 (717221),ZSK 70.8,22010295,6:00,73.58,4.69,22.38,50.78
339,BP 110/02 (717221),ZSK 70.8,22010297,6:00,73.78,4.59,22.53,50.86
340,BP 110/02 (717221),ZSK 70.8,22010296,18:00,73.9,4.71,22.99,51.72
341,BP 110/02 (717221),ZSK 70.8,22010298,6:00,73.84,4.55,22.76,51.19
342,BP 110/02 (717221),ZSK 70.8,22010297,18:00,74.17,4.67,23,51.56
343,BP 110/02 (717221),ZSK 70.8,22010298,10:00,74.5,4.34,22.5,50.21
344,BP 110/02 (717221),ZSK 70.8,22010299,18:00,73.13,4.84,23.01,52.27
345,BP 110/02 (717221),ZSK 70.8,22010299,6:00,73.19,4.87,22.88,52.03
346,BP 110/02 (717221),ZSK 70.5,22010297,10:15,74.16,4.5,24.09,53.27
347,BP 110/02 (717221),ZSK 70.8,22010300,10:15,73.3,4.75,23.01,52.08
348,BP 110/02 (717221),ZSK 70.8,22010300,18:00,74.04,4.15,22.27,49.85
349,BP 110/02 (717221),ZSK 70.8,22010300,8:30,73.56,4.73,23.39,52.6
350,BP 110/02 (717221),ZSK 70.8,22010300,18:00,73.6,4.48,23.11,51.84
351,BP 110/02 (717221),ZSK 70.8,22010300,10:15,73,4.8,23.23,52.67
352,BP 110/02 (717221),ZSK 70.7,22010301,18:00,74.17,4.57,23.07,51.58
353,BP 110/02 (717221),ZSK 70.8,22010301,6:00,73.89,4.86,23.54,52.82
354,BP 110/02 (717221),ZSK 70.8,22010301,6:00,73.83,4.63,22.92,51.54
355,BP 110/02 (717221),ZSK 70.8,22010303,6:00,74.05,4.67,22.45,50.67
356,BP 110/02 (717221),ZSK 70.8,22010302,18:00,73.29,5.07,23.41,53.09
357,BP 110/02 (717221),ZSK 70.8,22010303,18:00,74.36,4.59,23.4,52.08
358,BP 110/02 (717221),ZSK 70.8,22010304,6:00,74.2,4.48,22.34,50.21
359,BP 110/02 (717221),ZSK 70.8,22010304,18:00,74.28,3.99,22.89,50.66
360,BP 110/02 (717221),ZSK 70.5,22010322,8:30,75.44,3.79,22.63,49.46
361,BP 110/02 (717221),ZSK 70.8,22010305,8:30,72.67,4.91,22.69,52
362,BP 110/02 (717221),ZSK 70.8,22010305,18:00,72.34,5.24,23.35,53.66
363,BP 110/02 (717221),ZSK 70.8,22010305,18:00,72.96,4.94,22.98,52.39
364,BP 110/02 (717221),ZSK 70.8,22010306,6:00,72.87,4.85,22.84,52.1
365,BP 110/02 (717221),ZSK 70.8,22010306,6:00,72.63,5.05,22.97,52.65
366,BP 110/02 (717221),ZSK 70.8,22010306,18:00,74.74,3.92,21.66,48.23
367,BP 110/02 (717221),ZSK 70.8,22010306,18:00,73.65,4.73,22.67,51.31
368,BP 110/02 (717221),ZSK 70.8,22010307,6:00,73.31,4.82,22.38,51.05
369,BP 110/02 (717221),ZSK 70.8,22010307,6:00,73.25,4.83,22.57,51.42
370,BP 110/02 (717221),ZSK 70.8,22010308,6:00,71.88,5.33,23.4,54.07
371,BP 110/02 (717221),ZSK 70.8,22010308,6:00,72.69,5.08,22.91,52.55
372,BP 110/02 (717221),ZSK 70.8,22010307,18:00,72.73,5.03,23.15,52.89
373,BP 110/02 (717221),ZSK 70.8,22010307,19:30,72.59,5.07,23.3,53.28
374,BP 110/02 (717221),ZSK 70.8,22010308,18:00,73.88,4.69,23.03,51.77
375,BP 110/02 (717221),ZSK 70.8,22010309,9:00,72.58,5.16,23.06,52.94
376,BP 110/02 (717221),ZSK 70.8,22010309,11:30,72.43,5.27,23.36,53.66
377,BP 110/02 (717221),ZSK 70.8,22010309,14:15,72.75,5.09,23.05,52.77
378,BP 110/02 (717221),ZSK 70.8,22010309,18:00,72.68,5.31,23.89,54.47
379,BP 110/02 (717221),ZSK 70.8,22010309,21:30,72.97,5.05,23.61,53.58
380,BP 110/02 (717221),ZSK 70.8,22010309,2:00,73.23,5.04,23.57,53.37
381,BP 110/02 (717221),ZSK 70.8,22010310,6:00,72.67,5.27,23.43,53.65
382,BP 110/02 (717221),ZSK 70.8,22010310,6:30,72.9,5.26,23.55,53.72
383,BP 110/02 (717221),ZSK 70.8,22010310,11:30,72.74,5.03,23.05,52.71
384,BP 110/02 (717221),ZSK 70.8,22010311,18:00,73.81,4.86,23.16,52.19
385,BP 110/02 (717221),ZSK 70.8,22010311,6:00,73.6,4.97,23.15,52.38
386,BP 110/02 (717221),ZSK 70.8,22010312,18:00,73.18,5.06,22.96,52.37
387,BP 110/02 (717221),ZSK 70.8,22010314,6:00,72.61,5.1,23.29,53.26
388,BP 110/02 (717221),ZSK 70.8,22010313,18:00,72.79,5.1,23.43,53.42
389,BP 110/02 (717231),ZSK 70.8,22010577,13:15,71.27,6.12,25.3,58.49
390,BP 110/02 (717231),ZSK 70.8,22010577,6:00,71.53,6.12,25.51,58.68
391,BP 110/02 (717231),ZSK 70.8,22010578,18:00,71.7,6.03,25.49,58.48
392,BP 110/02 (717231),ZSK 70.8,22010578,18:00,71.9,5.98,24.8,57.14
393,BP 110/02 (717231),ZSK 70.8,22010578,6:00,72.92,5.54,24.54,55.7
394,BP 110/02 (717231),ZSK 70.8,22010578,6:00,71.87,6.03,25.02,57.57
395,BP 110/02 (717231),ZSK 70.8,22010579,18:00,73.14,5.42,24.94,56.14
396,BP 110/02 (717231),ZSK 70.8,22010579,6:00,72.85,5.52,24.92,56.36
397,BP 110/02 (717231),ZSK 70.4,22010600,6:00,76.67,3.49,21.73,47.07
398,BP 110/02 (717231),ZSK 70.5,22010600,6:00,76.33,3.5,22.73,48.95
399,BP 110/02 (717231),ZSK 70.9,22010600,6:00,77.18,3.48,21.51,46.45
400,BP 110/02 (717221),ZSK 70.8,22010580,18:00,72.18,6.09,25.44,58.17
401,BP 110/02 (717221),ZSK 70.8,22010580,6:00,72.37,5.79,24.48,56.14
402,BP 110/02 (717231),ZSK 70.8,22010581,18:00,73.14,5.47,24.45,55.36
403,BP 110/02 (717231),ZSK 70.8,22010581,10:30,71.78,5.76,24.72,56.83
404,BP 110/02 (712331),ZSK 70.5,22010603,10:30,76.86,3.64,21.45,46.63
405,BP 110/02 (712331)),ZSK 70.4,22010603,10:30,77.09,3.24,21.86,46.87
406,BP 110/02 (717221),ZSK 70.4,22010604,6:00,74.69,4.44,23.02,51.13
407,BP 110/02 (717221),ZSK 70.5,22010604,6:00,74.14,4.84,23.93,53.33
408,BP 110/02 (717221),ZSK 70.9,22010604,6:00,74.4,4.7,23.64,52.57
409,BP 110/02 (717231),ZSK 70.8,22010581,18:00,72.67,5.65,25.05,56.8
410,BP 110/02 (717221),ZSK 70.5,22010605,9:00,75.52,4.2,22.79,50.09
411,BP 110/02 (717221),ZSK 70.4,22010605,18:00,76.02,3.65,23.17,49.98
412,BP 110/02 (717221),ZSK 70.9,22010605,9:00,74.01,4.71,24.4,54.07
413,BP 110/02 (717221),ZSK 70.5,22010605,9:45,74.86,4.6,22.96,51.08
414,BP 110/02 (717231),ZSK 70.8,22010583,6:00,73.53,5.26,24.23,54.58
415,BP 110/02 (717221),ZSK 70.4,22010607,6:00,75.42,4.25,23.03,50.6
416,BP 110/02 (717221),ZSK 70.5,22010607,6:00,75.35,4.29,23.43,51.36
417,BP 110/02 (717221),ZSK 70.9,22010607,6:00,74.84,4.78,23.6,52.36
418,BP 110/02 (717231),ZSK 70.8,22010582,18:00,72.17,5.61,24.89,56.77
419,BP 110/02 (717221),ZSK 70.4,22010605,18:00,75.63,4.18,23.41,51.07
420,BP 110/02 (717221),ZSK 70.5,22010605,18:00,74.37,4.89,23.04,51.75
421,BP 110/02 (717221),ZSK 70.9,22010605,18:00,74.54,4.74,24.29,53.65
422,BP 110/02 (717231),ZSK 70.8,22010584,6:00,72.68,5.48,24.36,55.46
423,BP 110/02 (717221),ZSK 70.4,22010609,6:00,75.24,4.14,23.51,51.4
424,BP 110/02 (717221),ZSK 70.5,22010609,6:00,73.75,4.96,23.84,53.5
425,BP 110/02 (717221),ZSK 70.9,22010609,6:00,74.21,4.66,23.44,52.28
426,BP 110/02 (717231),ZSK 70.8,22010583,18:00,72.66,5.69,25.07,56.89
427,BP 110/02 (717221),ZSK 70.4,22010608,18:00,76.1,3.85,22.7,49.34
428,BP 110/02 (717221),ZSK 70.5,22010608,18:00,74.85,4.62,23.7,52.38
429,BP 110/02 (717221),ZSK 70.9,22010608,18:00,75.32,4.37,23.2,51.05
430,BP 110/02 (717231),ZSK 70.8,22010586,18:00,71.16,6.27,25.33,58.73
431,BP 110/02 (717231),ZSK 70.6,22010586,6:00,70.98,6.21,25.06,58.32
432,BP 110/02 (717221),ZSK 70.4,22010611,6:00,74.94,4.26,23.39,51.46
433,BP 110/02 (717221),ZSK 70.5,22010611,6:00,74.3,4.81,23.35,52.23
434,BP 110/02 (717221),ZSK 70.9,22010611,6:00,74.14,4.7,23.36,52.22
435,BP 110/02 (717221),ZSK 70.9,22010610,18:00,73.72,5.21,24.9,55.56
436,BP 110/02 (717221),ZSK 70.5,22010610,18:00,73.69,5.2,24.24,54.45
437,BP 110/02 (717221),ZSK 70.4,22010612,18:00,74.83,4.58,24.19,53.18
438,BP 110/02 (717221),ZSK 70.5,22010612,18:00,75.08,4.3,23.55,51.71
439,BP 110/02 (717221),ZSK 70.9,22010612,18:00,74.09,4.97,24.11,53.79
440,BP 110/02 (717231),ZSK 70.8,22010587,8:45,72.29,5.62,24.41,55.9
441,BP 110/02 (717221),ZSK 70.8,22010586,18:00,72.05,5.79,24.67,56.64
442,BP 110/02 (717221),ZSK 70.8,22010586,18:00,72.33,5.72,24.1,55.43
443,BP 110/02 (717231),ZSK 70.4,22010585,12:30,75.72,4.21,22.7,49.85
444,BP 110/02 (717221),ZSK 70.8,22010585,12:30,72.57,5.69,24.72,56.33
445,BP 110/02 (717231),ZSK 70.4,22010585,18:00,75.67,4.11,22.97,50.24
446,BP 110/02 (717231),ZSK 70.8,22010585,18:00,72.07,6.07,25.41,58.16
447,BP 110/02 (717221),ZSK 70.4,22010585,18:00,75.25,4.19,23.02,50.61
448,BP 110/02 (717231),ZSK 70.8,22010588,6:00,71.45,5.9,24.8,57.3
449,BP 110/02 (717231),ZSK 70.8,22010587,18:00,72.32,5.68,24.72,56.46
450,BP 110/02 (717231),ZSK 70.8,22010588,10:00,72.02,5.73,24.75,56.74
451,BP 110/02 (717231),ZSK 70.8,22010588,18:00,72.17,5.91,25.18,57.56
452,BP 110/02 (717231),ZSK 70.8,22010588,6:00,72.15,5.69,24.68,56.49
453,BP 110/02 (717221),ZSK 70.8,22010588,6:00,72.01,5.89,24.91,57.17
454,BP 110/02 (717231),ZSK 70.8,22010589,18:00,72.29,5.7,24.98,56.94
455,BP 110/02 (717231),ZSK 70.8,22010589,6:00,72.45,5.68,24.81,56.55
456,BP 110/02 (717231),ZSK 70.8,22010590,18:00,71.54,6.2,25.07,58.03
457,BP 110/02 (717231),ZSK 70.8,22010590,6:00,71.65,5.96,24.86,57.35
458,BP 110/02 (717231),ZSK 70.8,22010590,6:00,71.93,5.75,24.7,56.72
459,BP 110/02 (717231),ZSK 70.8,22010590,18:00,71.76,6.01,25.11,57.76
460,BP 110/02 (717221),ZSK 70.4,22010661,8:30,74.43,4.58,23.09,51.49
461,BP 110/02 (717221),ZSK 70.4,22010661,8:30,72.93,5.15,24.9,55.91
462,BP 110/02 (717221),ZSK 70.5,22010661,12:30,70.86,5.79,24.99,57.85
463,BP 110/02 (717231),ZSK 70.8,22010638,15:00,72.33,5.74,24.95,56.91
464,BP 110/02 (717221),ZSK 70.4,22010661,18:00,75.1,4.66,22.53,50.29
465,BP 110/02 (717221),ZSK 70.5,22010661,18:00,72.84,5.53,24.64,55.9
466,BP 110/02 (717231),ZSK 70.8,22010638,18:00,72.06,5.78,24.78,56.81
467,BP 110/02 (717231),ZSK 70.8,22010638,6:00,72.43,5.65,24.66,56.28
468,BP 110/02 (717221),ZSK 70.4,22010662,6:00,72.73,5.42,25.52,57.34
469,BP 110/02 (717221),ZSK 70.5,22010662,6:00,73.88,4.73,24.06,53.59
470,BP 110/02 (717221),ZSK 70.4,22010663,6:00,76.01,3.68,23.11,49.92
471,BP 110/02 (717221),ZSK 70.5,22010663,6:00,75.11,4.27,23.03,50.77
472,BP 110/02 (717231),ZSK 70.8,22010639,6:00,72.75,5.49,24.46,55.6
473,BP 110/02 (717231),ZSK 70.8,22010639,6:00,72.13,5.75,24.53,56.31
474,BP 110/02 (717231),ZSK 70.8,22010639,13:00,72.2,5.54,24.55,56.1
475,BP 110/02 (717231),ZSK 70.8,22010639,15:27,71.92,5.79,24.84,56.99
476,BP 110/02 (717221),ZSK 70.4,22010665,6:00,75.7,3.81,23.27,50.46
477,BP 110/02 (717221),ZSK 70.5,22010665,6:00,74.76,4.42,23.23,51.43
478,BP 110/02 (717231),ZSK 70.8,22010640,18:00,72.39,5.59,24.5,55.97
479,BP 110/02 (717231),ZSK 70.8,22010640,18:00,71.26,6.17,24.82,57.71
480,BP 110/02 (717231),ZSK 70.8,22010640,6:00,72.81,5.6,24.56,55.85
481,BP 110/02 (717231),ZSK 70.8,22010640,6:00,72.83,5.51,24.34,55.37
482,BP 110/02 (717231),ZSK 70.8,22010640,8:15,72.75,5.34,24.19,54.98
483,BP 110/02 (717221),ZSK 70.4,22010664,18:00,75.3,4.09,22.29,49.23
484,BP 110/02 (717221),ZSK 70.5,22010664,18:00,75.41,4.11,22.89,50.23
485,BP 110/02 (717221),ZSK 70.4,22010667,6:00,76.05,3.78,22.63,49.16
486,BP 110/02 (717221),ZSK 70.5,22010667,6:00,75.67,4.02,22.76,49.8
487,BP 110/02 (717231),ZSK 70.8,22010641,7:20,71.68,5.5,23.71,54.89
488,BP 110/02 (717231),ZSK 70.8,22010641,6:00,71.93,5.51,23.99,55.25
489,BP 110/02 (717231),ZSK 70.8,22010641,10:00,71.99,5.46,23.91,55.02
490,BP 110/02 (717231),ZSK 70.8,22010641,18:00,72.22,5.68,24.58,56.28
491,BP 110/02 (717231),ZSK 70.8,22010641,18:00,71.55,6.04,24.68,57.19
492,BP 110/02 (717231),ZSK 70.8,22010641,6:00,72.52,5.58,24.57,56
493,BP 110/02 (717221),ZSK 70.4,22010666,18:00,75.29,4.28,24.17,52.63
494,BP 110/02 (717221),ZSK 70.5,22010666,18:00,74.7,4.56,23.44,51.94
495,BP 110/02 (717221),ZSK 70.5,22010667,18:00,75.17,4.21,22.39,49.57
496,BP 110/02 (717221),ZSK 70.4,22010667,18:00,76.63,3.43,21.09,45.92
497,BP 110/02 (717221),ZSK 70.4,22010668,9:15,76.28,3.45,22.19,48
498,BP 110/02 (717221),ZSK 70.8,22010642,11:15,70.21,6.2,25.05,58.73
499,BP 110/02 (717221),ZSK 70.4,22010669,6:00,75.45,3.99,22.96,50.22
500,BP 110/02 (717221),ZSK 70.5,22010669,6:00,74.19,4.64,22.79,51.16
501,BP 110/02 (717221),ZSK 70.4,22010668,18:00,74.96,3.87,21.66,48.08
502,BP 110/02 (717221),ZSK 70.5,22010668,18:00,74.89,4.44,23.64,52.09
503,BP 110/02 (717231),ZSK 70.6,22010642,6:00,71.29,5.88,24.83,57.42
504,BP 110/02 (717231),ZSK 70.8,22010642,6:00,71.98,5.61,24.44,56.11
505,BP 110/02 (717231),ZSK 70.8,22010642,18:00,70.37,6.34,24.75,58.28
506,BP 110/02 (717231),ZSK 70.8,22010642,18:00,70.46,6.12,24.66,57.84
507,BP 110/02 (717231),ZSK 70.8,22010642,10:15,71.31,5.92,24.78,57.35
508,BP 110/02 (717221),ZSK 70.4,22010671,6:00,75.7,4.11,23.09,50.43
509,BP 110/02 (717221),ZSK 70.5,22010671,6:00,74.94,4.23,23.1,50.92
510,BP 110/02 (717231),ZSK 70.8,22010643,18:00,72.77,5.5,24.27,55.27
511,BP 110/02 (717231),ZSK 70.8,22010643,18:00,71.19,6.15,24.98,58
512,BP 110/02 (717231),ZSK 70.8,22010643,6:00,72.17,5.67,24.28,55.77
513,BP 110/02 (717231),ZSK 70.8,22010643,6:00,72.09,5.78,24.3,55.98
514,BP 110/02 (717221),ZSK 70.4,22010670,18:00,76,3.74,22.37,48.7
515,BP 110/02 (717221),ZSK 70.5,22010670,18:00,75.4,4.14,22.88,50.25
516,BP 110/02 (717221),ZSK 70.4,22010672,6:00,74.93,4.4,23.43,51.66
517,BP 110/02 (717221),ZSK 70.5,22010672,6:00,74.27,4.56,23.49,52.24
518,BP 110/02 (717231),ZSK 70.8,22010644,18:00,73.26,5.32,24.33,54.94
519,BP 110/02 (717231),ZSK 70.6,22010644,6:00,72.17,5.7,24.6,56.36
520,BP 110/02 (717221),ZSK 70.8,22010644,6:00,71.96,5.75,24.58,56.49
521,BP 110/02 (717221),ZSK 70.4,22010671,18:00,76.58,3.52,22.2,47.94
522,BP 110/02 (717221),ZSK 70.5,22010671,18:00,75.06,4.11,22.97,50.53
523,BP 110/02 (717221),ZSK 70.4,22010674,6:00,76.45,3.14,21.65,46.7
524,BP 110/02 (717221),ZSK 70.5,22010674,6:00,74.75,4.17,23.5,51.65
525,BP 110/02 (717231),ZSK 70.8,22010645,6:00,71.42,5.9,24.99,57.64
526,BP 110/02 (717231),ZSK 70.8,22010645,18:00,70.21,6.23,24.76,58.26
527,BP 110/02 (717231),ZSK 70.8,22010645,18:00,72.09,5.68,24.47,56.15
528,BP 110/02 (717231),ZSK 70.8,22010644,18:00,70.57,6.34,25.3,59.1
529,BP 110/02 (717221),ZSK 70.4,22010673,18:00,75.28,4.2,23.26,51
530,BP 110/02 (717221),ZSK 70.5,22010673,18:00,73.88,4.66,23.01,51.71
531,BP 110/02 (717231),ZSK 70.8,22010645,18:00,71.58,6.01,24.42,56.68
532,BP 110/02 (717231),ZSK 70.8,22010646,9:15,71.13,6,24.47,57
533,BP 110/02 (717221),ZSK 70.4,22010675,9:00,75.17,4.05,23,50.48
534,BP 110/02 (717221),ZSK 70.5,22010675,9:00,73.31,4.67,22.66,51.4
535,BP 110/02 (717221),ZSK 70.5,22010675,9:45,73.81,4.93,23.58,53
536,BP 110/02 (717221),ZSK 70.5,22010675,10:45,74.18,4.72,23.98,53.28
537,BP 110/02 (717231),ZSK 70.8,22010646,6:00,75.14,4.37,23.27,51.25
538,BP 110/02 (717231),ZSK 70.8,22010646,18:00,74.19,4.56,22.94,51.34
539,BP 110/02 (717221),ZSK 70.4,22010675,18:00,76.5,3.63,22.43,48.48
540,BP 110/02 (717221),ZSK 70.5,22010675,18:00,75.61,4.3,22.31,49.31
541,BP 110/02 (717221),ZSK 70.4,22010676,6:00,76.64,3.4,20.64,45.1
542,BP 110/02 (717221),ZSK 70.5,22010676,6:00,75.4,4.28,22.8,50.23
543,BP 110/02 (717221),ZSK 70.4,22010695,18:00,76.24,3.53,21.61,47.1
544,BP 110/02 (717221),ZSK 70.5,22010695,18:00,76.61,3.48,22.1,47.72
545,BP 110/02 (717221),ZSK 70.4,22010695,6:00,77,3.01,20.57,44.45
546,BP 110/02 (717221),ZSK 70.5,22010695,6:00,75.86,3.89,22.29,48.77
547,BP 110/02 (717231),ZSK 70.8,22010647,6:00,74.71,4.44,23.23,51.48
548,BP 110/02 (717231),ZSK 70.8,22010647,9:35,74.47,4.7,23.38,52.09
549,BP 110/02 (717231),ZSK 70.8,22010647,18:00,75.19,4.3,22.8,50.36
550,BP 110/02 (717221),ZSK 70.4,22010696,6:00,77.09,3.25,21.53,46.3
551,BP 110/02 (717221),ZSK 70.5,22010696,6:00,74.17,5,23.8,53.24
552,BP 110/02 (717231),ZSK 70.8,22010648,18:00,73.12,5.16,24.14,54.52
553,BP 110/02 (717231),ZSK 70.8,22010648,6:00,73.96,4.74,23.73,52.99
554,BP 110/02 (717221),ZSK 70.4,22010698,6:45,76.85,3.32,21.23,45.96
555,BP 110/02 (717221),ZSK 70.5,22010698,6:45,75.73,4.21,22.59,49.66
556,BP 110/02 (717231),ZSK 70.8,22010649,18:00,72.87,5.08,23.83,54.05
557,BP 110/02 (717231),ZSK 70.8,22010649,6:45,73.31,5.19,23.77,53.82
558,BP 110/02 (717221),ZSK 70.4,22010697,18:00,76.73,3.35,21.54,46.58
559,BP 110/02 (717231),ZSK 70.8,22010650,8:00,73.25,5.09,23.31,52.97
560,BP 110/02 (717231),ZSK 70.8,22010650,8:00,72.94,5.23,24.04,54.52
561,BP 110/02 (717231),ZSK 70.8,22010650,6:00,73.31,5.05,23.36,52.98
562,BP 110/02 (717231),ZSK 70.8,22010650,6:00,72.93,5.36,24.07,54.7
563,BP 110/02 (717231),ZSK 70.8,22010651,6:00,73.65,4.91,23.36,52.67
564,BP 110/02 (717231),ZSK 70.8,22010652,18:00,73.64,4.86,22.88,51.8
565,BP 110/02 (717231),ZSK 70.8,22010652,6:00,72.8,5.06,23.68,53.81
566,BP 110/02 (717231),ZSK 70.8,22010652,6:00,72.19,5.45,23.51,54.22
567,BP 110/02 (717231),ZSK 70.8,22010702,11:30,73.93,4.71,22.78,51.33
568,BP 110/02 (717231),ZSK 70.8,22010702,18:30,74.67,4.71,22.72,50.87
569,BP 110/02 (717231),ZSK 70.8,22010702,6:00,74.13,5.01,23.1,52.07
570,BP 110/02 (717231),ZSK 70.8,22010702,6:00,74.06,4.77,22.63,51.07
571,BP 110/02 (717231),ZSK 70.8,22010702,9:10,74.24,4.63,22.38,50.41
572,BP 110/02 (717221),ZSK 70.8,22010704,6:00,75.02,4.32,22.27,49.54
573,BP 110/02 (717221),ZSK 70.8,22010704,6:00,73.03,5.37,24.04,54.6
574,BP 110/02 (717231),ZSK 70.8,22010705,10:45,75.07,4.27,22.36,49.62
575,BP 110/02 (717231),ZSK 70.8,22010705,11:05,74.6,4.58,22.74,50.82
576,BP 110/02 (717231),ZSK 70.8,22010705,18:00,74.61,4.47,22.48,50.25
577,BP 110/02 (717231),ZSK 70.8,22010705,6:15,74.74,4.55,22.63,50.52
578,BP 110/02 (717231),ZSK 70.8,22010705,6:00,75.19,4.34,22.41,49.72
579,BP 110/02 (717231),ZSK 70.9,22010748,18:00,73.55,5.09,24.3,54.51
580,BP 110/02 (717231),ZSK 70.9,22010748,6:15,73.82,5.1,23.73,53.41
581,BP 110/02 (717231),ZSK 70.4,22010750,6:00,76.36,3.64,22.97,49.48
582,BP 110/02 (7172231),ZSK 70.5,22010750,6:00,74.83,4.64,23.62,52.26
583,BP 110/02 (717231),ZSK 70.4,22010749,18:00,76.79,3.37,22.09,47.52
584,BP 110/02 (717231),ZSK 70.9,22010749,18:00,75.01,4.58,23.36,51.68
585,BP 110/02 (717231),ZSK 70.8,22010707,18:00,75.88,4.15,22.34,49.09
586,BP 110/02 (717231),ZSK 70.8,22010707,6:00,75.82,4.18,22.28,49.06
587,BP 110/02 (717231),ZSK 70.8,22010707,9:00,75.38,4.38,22.33,49.54
588,BP 110/02 (717231),ZSK 70.4,22010751,6:00,77.23,3.21,22.13,47.24
589,BP 110/02 (717231),ZSK 70.9,22010751,6:00,75.88,4.12,22.53,49.39
590,BP 110/02 (717231),ZSK 70.4,22010750,18:00,76.74,3.43,21.56,46.69
591,BP 110/02 (717231),ZSK 70.9,22010750,18:00,75.11,4.26,23,50.71
592,BP 110/02 (717231),ZSK 70.4,22010754,18:00,76.83,3.33,21.19,45.91
593,BP 110/02 (717231),ZSK 70.9,22010754,18:00,75.71,4,22.92,50.04
594,BP 110/02 (717231),ZSK 70.8,22010708,7:30,74.05,4.88,23.06,51.93
595,BP 110/02 (717231),ZSK 70.8,22010708,6:00,73.46,5.18,23.87,53.91
596,BP 110/02 (717221),ZSK 70.8,22010709,18:00,73.42,5.14,23.75,53.7
597,BP 110/02 (717221),ZSK 70.8,22010710,18:00,74,4.96,23.23,52.32
598,BP 110/02 (717221),ZSK 70.8,22010710,6:00,73.9,4.97,22.87,51.76
599,BP 110/02 (717221),ZSK 70.8,22010711,13:00,73.32,5.06,23.67,53.53
600,BP 110/02 (717221),ZSK 70.8,22010712,6:20,74.54,4.74,23.11,51.63
601,BP 110/02 (717221),ZSK 70.8,22010712,6:50,74.53,4.75,23.21,51.81
