"qs_merkmal_id","wertnum","bemerkg","csnr"
"100","0.12","AA 18.00","22800046"
"100","0.1","MP","22800046"
"100",NULL,NULL,"22800046"
"100",NULL,NULL,"22800046"
"100",NULL,NULL,"22800046"
"188","0.0",NULL,"22800046"
"188","1.0",NULL,"22800046"
"203","0.014","MP","22800046"
"235","18.24","MP","22800046"
"235",NULL,NULL,"22800046"
"235",NULL,NULL,"22800046"
"235",NULL,NULL,"22800046"
"235",NULL,NULL,"22800046"
"236","71.26","MP","22800046"
"236",NULL,NULL,"22800046"
"236",NULL,NULL,"22800046"
"236",NULL,NULL,"22800046"
"236",NULL,NULL,"22800046"
"237","0.35","MP","22800046"
"237",NULL,NULL,"22800046"
"237",NULL,NULL,"22800046"
"237",NULL,NULL,"22800046"
"237",NULL,NULL,"22800046"
"238","7.66","MP","22800046"
"238",NULL,NULL,"22800046"
"238",NULL,NULL,"22800046"
"238",NULL,NULL,"22800046"
"238",NULL,NULL,"22800046"
"197","10.614","AA 06.00","22800032"
"197","12.819","7 06.00","22800032"
"197","10.925","10 06.00","22800032"
"197","10.411","MP","22800032"
"197","10.262","AA 18.00","22800032"
"198","1.414","AA 06.00","22800032"
"198","1.403","7 06.00","22800032"
"198","1.408","10 06.00","22800032"
"198","1.413","MP","22800032"
"198","1.415","AA 18.00","22800032"
"100","0.12","AA 06.00","22800032"
"100","0.25","7 06.00","22800032"
"100","0.15","10 06.00","22800032"
"100","0.08","MP","22800032"
"100","0.08","AA 18.00","22800032"
"188","0.0",NULL,"22800032"
"188","1.0",NULL,"22800032"
"203","0.033","AA 06.00","22800032"
"203","0.14","7 06.00","22800032"
"203","0.085","10 06.00","22800032"
"203","0.03","MP","22800032"
"203","0.08","AA 18.00","22800032"
"235","19.17","MP","22800032"
"235",NULL,NULL,"22800032"
"235",NULL,NULL,"22800032"
"235",NULL,NULL,"22800032"
"235",NULL,NULL,"22800032"
"236","71.94","MP","22800032"
"236",NULL,NULL,"22800032"
"236",NULL,NULL,"22800032"
"236",NULL,NULL,"22800032"
"236",NULL,NULL,"22800032"
"237","0.44","MP","22800032"
"237",NULL,NULL,"22800032"
"237",NULL,NULL,"22800032"
"237",NULL,NULL,"22800032"
"237",NULL,NULL,"22800032"
"238","8.1","MP","22800032"
"238",NULL,NULL,"22800032"
"238",NULL,NULL,"22800032"
"238",NULL,NULL,"22800032"
"238",NULL,NULL,"22800032"
"197","11.591","7 06.00","22800033"
"197","10.919","10 06.00","22800033"
"197","10.174","MP","22800033"
"197","10.882","AA 18.00","22800033"
"197",NULL,NULL,"22800033"
"198","1.411","7 06.00","22800033"
"198","1.407","10 06.00","22800033"
"198","1.412","MP","22800033"
"198","1.411","AA 18.00","22800033"
"198",NULL,NULL,"22800033"
"100","0.15","7 06.00","22800033"
"100","0.17","10 06.00","22800033"
"100","0.11","MP","22800033"
"100","0.08","AA 18.00","22800033"
"100",NULL,NULL,"22800033"
"188","0.0",NULL,"22800033"
"188","1.0",NULL,"22800033"
"203","0.023","AA 18.00","22800033"
"203","0.097","7 06.00","22800033"
"203","0.101","10 06.00","22800033"
"203","0.017","MP","22800033"
"203",NULL,NULL,"22800033"
"235","18.79","MP","22800033"
"235",NULL,NULL,"22800033"
"235",NULL,NULL,"22800033"
"235",NULL,NULL,"22800033"
"235",NULL,NULL,"22800033"
"236","71.56","MP","22800033"
"236",NULL,NULL,"22800033"
"236",NULL,NULL,"22800033"
"236",NULL,NULL,"22800033"
"236",NULL,NULL,"22800033"
"237","0.47","MP","22800033"
"237",NULL,NULL,"22800033"
"237",NULL,NULL,"22800033"
"237",NULL,NULL,"22800033"
"237",NULL,NULL,"22800033"
"238","7.88","MP","22800033"
"238",NULL,NULL,"22800033"
"238",NULL,NULL,"22800033"
"238",NULL,NULL,"22800033"
"238",NULL,NULL,"22800033"
"209","37.59","TGA","22800063"
"209","39.4","TGA ","22800033"
"209","38.6","TGA","22800046"
"209","37.74","TGA","22800062"
"209","39.99","TGA","22800032"
"197","10.163","06:00 AA","22800048"
"197","9.4216","11:45","22800048"
"197","12.211","13:15","22800048"
"197","9.3441","18:00 AA","22800048"
"197","12.09","7 06:00","22800048"
"197","10.497","10 06:00","22800048"
"197","10.098","Mp","22800048"
"198","1.412","06:00 AA","22800048"
"198","1.407","11:45","22800048"
"198","1.397","13:15","22800048"
"198","1.411","18:00 AA","22800048"
"198","1.397","7 06:00","22800048"
"198","1.409","10  06:00","22800048"
"198","1.41","MP","22800048"
"100","0.11","06:00 AA","22800048"
"100","0.13","11:45","22800048"
"100","0.14","13:15","22800048"
"100","0.09","18:00 AA","22800048"
"100","0.17","7 06:00","22800048"
"100","0.13","10 06:00","22800048"
"100","0.11","MP","22800048"
"188","0.0",NULL,"22800048"
"188","1.0",NULL,"22800048"
"203","0.11","06:00 AA","22800048"
"203","0.13","11:45","22800048"
"203","0.14","13:15","22800048"
"203","0.09","18:00 AA","22800048"
"203","0.119","7 06:00","22800048"
"203","0.102","10 06:00","22800048"
"203","0.03","MP","22800048"
"209",NULL,NULL,"22800048"
"235","18.5",NULL,"22800048"
"236","71.12",NULL,"22800048"
"237","0.37",NULL,"22800048"
"238","7.75",NULL,"22800048"
"197","10.166","70.7+10 18:00 AA","22800049"
"197","9.9646","70.7+10 06:00 AA","22800049"
"197","11.497","70.7 06:00 ","22800049"
"197","10.253","70.7 10 06:00 ","22800049"
"197","10.088","MP AA","22800049"
"198","1.412",NULL,"22800049"
"198","1.41",NULL,"22800049"
"198","1.423",NULL,"22800049"
"198","1.406",NULL,"22800049"
"198",NULL,NULL,"22800049"
"197","10.088","MP AA","22800049"
"197",NULL,NULL,"22800049"
"197",NULL,NULL,"22800049"
"197",NULL,NULL,"22800049"
"197",NULL,NULL,"22800049"
"197",NULL,NULL,"22800049"
"197",NULL,NULL,"22800049"
"197",NULL,NULL,"22800049"
"198","1.411","MP AA","22800049"
"198",NULL,NULL,"22800049"
"198",NULL,NULL,"22800049"
"198",NULL,NULL,"22800049"
"198",NULL,NULL,"22800049"
"198",NULL,NULL,"22800049"
"198",NULL,NULL,"22800049"
"198",NULL,NULL,"22800049"
"100","0.11","70.7+10 06:00 AA","22800049"
"100","0.2","70.7 06:00 ","22800049"
"100","0.147","70.10 06:00 ","22800049"
"100","0.11","MP AA","22800049"
"100",NULL,NULL,"22800049"
"100",NULL,NULL,"22800049"
"100",NULL,NULL,"22800049"
"100",NULL,NULL,"22800049"
"188","0.0",NULL,"22800049"
"188","1.0",NULL,"22800049"
"203","0.029","MP AA","22800049"
"203",NULL,NULL,"22800049"
"203",NULL,NULL,"22800049"
"203",NULL,NULL,"22800049"
"203",NULL,NULL,"22800049"
"203",NULL,NULL,"22800049"
"203",NULL,NULL,"22800049"
"203",NULL,NULL,"22800049"
"235","18.44","MP AA","22800049"
"235",NULL,NULL,"22800049"
"235",NULL,NULL,"22800049"
"235",NULL,NULL,"22800049"
"235",NULL,NULL,"22800049"
"235",NULL,NULL,"22800049"
"235",NULL,NULL,"22800049"
"235",NULL,NULL,"22800049"
"236","77.72","MP AA","22800049"
"236",NULL,NULL,"22800049"
"236",NULL,NULL,"22800049"
"236",NULL,NULL,"22800049"
"236",NULL,NULL,"22800049"
"236",NULL,NULL,"22800049"
"236",NULL,NULL,"22800049"
"236",NULL,NULL,"22800049"
"237","0.38","MP AA","22800049"
"237",NULL,NULL,"22800049"
"237",NULL,NULL,"22800049"
"237",NULL,NULL,"22800049"
"237",NULL,NULL,"22800049"
"237",NULL,NULL,"22800049"
"237",NULL,NULL,"22800049"
"237",NULL,NULL,"22800049"
"238","7.78","MP AA","22800049"
"238",NULL,NULL,"22800049"
"238",NULL,NULL,"22800049"
"238",NULL,NULL,"22800049"
"238",NULL,NULL,"22800049"
"238",NULL,NULL,"22800049"
"238",NULL,NULL,"22800049"
"238",NULL,NULL,"22800049"
"197","10.174","AA 18.00","22800051"
"197","10.146","AA 18.00","22800051"
"197","10.012","MP","22800051"
"197","11.197","7 06.00","22800051"
"197","10.759","10 06.00","22800051"
"197","10.146","AA 06.00","22800051"
"198","1.414","AA 18.00","22800051"
"198","1.412","AA 18.00","22800051"
"198","1.413","MP","22800051"
"198","1.414","7 06.00","22800051"
"198","1.407","10 06.00","22800051"
"198","1.415","AA 06.00","22800051"
"100","0.07","AA 18.00","22800051"
"100","0.18","AA 18.00","22800051"
"100","0.13","MP","22800051"
"100","0.17","7 06.00","22800051"
"100","0.15","10 06.00","22800051"
"100","0.07","AA 06.00","22800051"
"188","0.0",NULL,"22800051"
"188","1.0",NULL,"22800051"
"203","0.017","AA 18.00","22800051"
"203","0.01","A 18.00","22800051"
"203","0.014","MP","22800051"
"203","0.126","7 06.00","22800051"
"203","0.095","10 06.00","22800051"
"203","0.023","AA 06.00","22800051"
"235","18.54","MP","22800051"
"235",NULL,NULL,"22800051"
"235",NULL,NULL,"22800051"
"235",NULL,NULL,"22800051"
"235",NULL,NULL,"22800051"
"236","72.65","MP","22800051"
"236",NULL,NULL,"22800051"
"236",NULL,NULL,"22800051"
"236",NULL,NULL,"22800051"
"236",NULL,NULL,"22800051"
"237","0.4","MP","22800051"
"237",NULL,NULL,"22800051"
"237",NULL,NULL,"22800051"
"237",NULL,NULL,"22800051"
"237",NULL,NULL,"22800051"
"238","7.9","MP","22800051"
"238",NULL,NULL,"22800051"
"238",NULL,NULL,"22800051"
"238",NULL,NULL,"22800051"
"238",NULL,NULL,"22800051"
"209","38.41","Muffelofen","22800051"
"209","38.32","Muffelofen","22800049"
"197","12.198","7 18.00","22800052"
"197","10.656","10 18.00","22800052"
"197","10.175","MP","22800052"
"197","11.473","7 18.00","22800052"
"197","10.47","10 18.00","22800052"
"197","10.228","AA 18.00","22800052"
"197","12.174","7 09.00","22800052"
"197","10.84","10 09.30","22800052"
"197","10.347","AA 10.00","22800052"
"198","1.407","7 18.00","22800052"
"198","1.404","10 18.00","22800052"
"198","1.413","MP","22800052"
"198","1.428","7 18.00","22800052"
"198","1.4077","10 18.00","22800052"
"198","1.412","AA 18.00","22800052"
"198","1.409","7 09.00","22800052"
"198","1.406","10 09.30","22800052"
"198","1.411","AA 10.00","22800052"
"100","0.24","7 18.00","22800052"
"100","0.18","10 18.00","22800052"
"100","0.13","MP","22800052"
"100","0.19","7 18.00","22800052"
"100","0.15","10 18.00","22800052"
"100","0.11","AA 18.00","22800052"
"100","0.18","7 09.00","22800052"
"100","0.11","10 09.30","22800052"
"100","0.17","AA 10.00","22800052"
"188","0.0",NULL,"22800052"
"188","1.0",NULL,"22800052"
"203","0.14","7 18.00","22800052"
"203","0.127","10 18.00","22800052"
"203","0.01","AA 18.00","22800052"
"203","0.14","7 18.00","22800052"
"203","0.082","10 18.00","22800052"
"203","0.02","MP","22800052"
"203","0.158","7 09.00","22800052"
"203","0.088","10 09.30","22800052"
"203","0.03","AA 10.00","22800052"
"235","20.51","MP","22800052"
"235",NULL,NULL,"22800052"
"235",NULL,NULL,"22800052"
"235",NULL,NULL,"22800052"
"235",NULL,NULL,"22800052"
"235",NULL,NULL,"22800052"
"235",NULL,NULL,"22800052"
"235",NULL,NULL,"22800052"
"235",NULL,NULL,"22800052"
"236","71.76","MP","22800052"
"236",NULL,NULL,"22800052"
"236",NULL,NULL,"22800052"
"236",NULL,NULL,"22800052"
"236",NULL,NULL,"22800052"
"236",NULL,NULL,"22800052"
"236",NULL,NULL,"22800052"
"236",NULL,NULL,"22800052"
"236",NULL,NULL,"22800052"
"237","0.8","MP","22800052"
"237",NULL,NULL,"22800052"
"237",NULL,NULL,"22800052"
"237",NULL,NULL,"22800052"
"237",NULL,NULL,"22800052"
"237",NULL,NULL,"22800052"
"237",NULL,NULL,"22800052"
"237",NULL,NULL,"22800052"
"237",NULL,NULL,"22800052"
"238","8.54","MP","22800052"
"238",NULL,NULL,"22800052"
"238",NULL,NULL,"22800052"
"238",NULL,NULL,"22800052"
"238",NULL,NULL,"22800052"
"238",NULL,NULL,"22800052"
"238",NULL,NULL,"22800052"
"238",NULL,NULL,"22800052"
"238",NULL,NULL,"22800052"
"209","38.64","TGA","22800052"
"197","12.582","7 06.00","22800053"
"197","10.916","7 06.00","22800053"
"197","10.183","AA 18.00","22800053"
"197","10.184","MP","22800053"
"197","10.013","AA 06.00","22800053"
"198","1.412","7 06.00","22800053"
"198","1.406","10 06.00","22800053"
"198","1.413","AA 18.00","22800053"
"198","1.42","MP","22800053"
"198","1.413","AA 06.00","22800053"
"100","0.12","AA 06.00","22800053"
"100","0.13","AA 18.00","22800053"
"100","0.09","MP","22800053"
"100","0.23","7 06.00","22800053"
"100","0.16","10 06.00","22800053"
"188","0.0",NULL,"22800053"
"188","1.0",NULL,"22800053"
"203","0.024","AA 18.00","22800053"
"203","0.038","MP","22800053"
"203","0.126","7 06.00","22800053"
"203","0.095","10 06.00","22800053"
"203","0.095","AA 06.00","22800053"
"235","20.0","MP","22800053"
"235",NULL,NULL,"22800053"
"235",NULL,NULL,"22800053"
"235",NULL,NULL,"22800053"
"235",NULL,NULL,"22800053"
"236","72.29","MP","22800053"
"236",NULL,NULL,"22800053"
"236",NULL,NULL,"22800053"
"236",NULL,NULL,"22800053"
"236",NULL,NULL,"22800053"
"237","0.69","MP","22800053"
"237",NULL,NULL,"22800053"
"237",NULL,NULL,"22800053"
"237",NULL,NULL,"22800053"
"237",NULL,NULL,"22800053"
"238","8.41","MP","22800053"
"238",NULL,NULL,"22800053"
"238",NULL,NULL,"22800053"
"238",NULL,NULL,"22800053"
"238",NULL,NULL,"22800053"
"209","38.0","TGA","22800053"
"197","11.137","70.7 06:00 and. Schnitt","22800054"
"197","10.068","70.10 06:00","22800054"
"197","9.61","70.10+7  06:00 AA","22800054"
"197","11.838","70.7 08:00 Trocknerprü ","22800054"
"197","9.86","70.7+10 18:00 AA","22800054"
"197","9.9287","MP AA","22800054"
"197",NULL,NULL,"22800054"
"198","1.407","70.7 06:00 and. Schnitt","22800054"
"198","1.409","70.10 06:00","22800054"
"198","1.412","70.10+7 06:00 AA","22800054"
"198","1.402","70.10 08:00 Trocknerpr","22800054"
"198","1.417","70.10+7 18:00 AA","22800054"
"198","1.414","MP AA","22800054"
"198",NULL,NULL,"22800054"
"100","0.24","70.10 06:00 and.Schnit","22800054"
"100","0.19","70.10 06:00","22800054"
"100","0.14","70.10+7 06:00AA","22800054"
"100","0.13","70.10 08:00 Trocknerpr","22800054"
"100","0.11","70.10+7 18:00 AA","22800054"
"100","0.22","MP AA","22800054"
"100",NULL,NULL,"22800054"
"182",NULL,NULL,"22800054"
"182",NULL,NULL,"22800054"
"182",NULL,NULL,"22800054"
"182",NULL,NULL,"22800054"
"182",NULL,NULL,"22800054"
"182",NULL,NULL,"22800054"
"182",NULL,NULL,"22800054"
"188","0.0",NULL,"22800054"
"188","1.0",NULL,"22800054"
"203","0.15","70.10 06:00 and.Schnit","22800054"
"203","0.085","70.10 06:00","22800054"
"203","0.018","70.10+7 06:00 AA","22800054"
"203","0.177","70.10 08:00Trocknerpr","22800054"
"203","0.013","70.10 18:00 AA","22800054"
"203","0.017","MP AA","22800054"
