Typ;Nr;Artikelnr;Artikelbez 1;Plangrp;Sollmenge;Istmenge;Kst Id;Beginn;Ende;
20;18894;102132;A400 NC801;ABS;46000;24000;ABSACKANLAGE;13.06.2022 00:00:00;13.06.2022 00:00:00;
20;18894;102132;A400 NC801;ABS;46000;-24000;ABSACKANLAGE;13.06.2022 00:00:00;13.06.2022 00:00:00;
20;18894;102132;A400 NC801;ABS;46000;22000;ABSACKANLAGE;13.06.2022 00:00:00;13.06.2022 00:00:00;
20;18894;102132;A400 NC801;ABS;46000;0;MS01;13.06.2022 00:00:00;13.06.2022 00:00:00;
20;18894;102132;A400 NC801;ABS;46000;2000;ABSACKANLAGE;13.06.2022 00:00:00;13.06.2022 00:00:00;
20;18894;102132;A400 NC801;ABS;46000;22000;ABSACKANLAGE;13.06.2022 00:00:00;13.06.2022 00:00:00;
