Typ;Nr;Artikelnr;Artikelbez 1;Plangrp;Sollmenge;Istmenge;Kst Id;Beginn;Ende;
20;18901;102132;A400 NC801;ABS;41000;17000;ABSACKANLAGE;14.06.2022 00:00:00;14.06.2022 00:00:00;
20;18901;102132;A400 NC801;ABS;41000;24000;ABSACKANLAGE;15.06.2022 00:00:00;15.06.2022 00:00:00;
