Typ;Nr;Artikelnr;Artikelbez 1;Plangrp;Sollmenge;Istmenge;Kst Id;Beginn;Ende;
20;18235;712421;BIOPLAST 110/03;70/4+5+9;22000;6500;ZSK 70/4;28.02.2022 18:30:00;01.03.2022 00:00:00;
20;18235;712421;BIOPLAST 110/03;70/4+5+9;22000;6500;ZSK 70/5;28.02.2022 18:30:00;01.03.2022 05:30:00;
20;18235;712421;BIOPLAST 110/03;70/4+5+9;22000;6000;ZSK 70/9;28.02.2022 18:30:00;01.03.2022 05:30:00;
20;18235;712421;BIOPLAST 110/03;70/4+5+9;22000;-6500;ZSK 70/5;28.02.2022 18:30:00;01.03.2022 05:30:00;
20;18235;712421;BIOPLAST 110/03;70/4+5+9;22000;6500;ZSK 70/5;28.02.2022 18:30:00;28.02.2022 23:59:00;
20;18235;712421;BIOPLAST 110/03;70/4+5+9;22000;-6000;ZSK 70/9;28.02.2022 18:30:00;01.03.2022 05:30:00;
20;18235;712421;BIOPLAST 110/03;70/4+5+9;22000;6000;ZSK 70/9;28.02.2022 18:30:00;28.02.2022 23:59:00;
20;18235;712421;BIOPLAST 110/03;70/4+5+9;22000;-6500;ZSK 70/4;28.02.2022 18:30:00;01.03.2022 00:00:00;
20;18235;712421;BIOPLAST 110/03;70/4+5+9;22000;6500;ZSK 70/4;28.02.2022 18:30:00;28.02.2022 23:59:00;
