Typ;Nr;Artikelnr;Artikelbez 1;Plangrp;Sollmenge;Istmenge;Kst Id;Beginn;Ende;
20;19866;810031;G-21 M;70/7+10;22000;12000;ZSK 70/7;09.12.2022 12:30:00;12.12.2022 23:50:00;
20;19866;810031;G-21 M;70/7+10;22000;10000;ZSK 70/10;09.12.2022 12:30:00;12.12.2022 23:50:00;
