Typ;Nr;Artikelnr;Artikelbez 1;Plangrp;Sollmenge;Istmenge;Kst Id;Beginn;Ende;
20;20053;810031;G-21 M;70/7+10;22000;12000;ZSK 70/7;14.02.2023 17:05:00;15.02.2023 18:30:00;
20;20053;810031;G-21 M;70/7+10;22000;10000;ZSK 70/10;16.02.2023 00:00:00;16.02.2023 00:00:00;
20;20053;810031;G-21 M;70/7+10;22000;0;ZSK 70/7;14.02.2023 00:00:00;14.02.2023 00:00:00;
20;20053;810031;G-21 M;70/7+10;22000;0;MS02;14.02.2023 00:00:00;14.02.2023 00:00:00;
20;20053;810031;G-21 M;70/7+10;22000;0;ZSK 70/10;14.02.2023 00:00:00;14.02.2023 00:00:00;
