Typ;Nr;Artikelnr;Artikelbez 1;Plangrp;Sollmenge;Istmenge;Kst Id;Beginn;Ende;
20;20644;700030;B80300;;31200;1600;ABSACKANLAGE;20.04.2023 00:00:00;20.04.2023 00:00:00;
20;20644;700030;B80300;;31200;3200;ABSACKANLAGE;24.04.2023 00:00:00;24.04.2023 00:00:00;
20;20644;700030;B80300;;31200;800;ABSACKANLAGE;26.04.2023 00:00:00;26.04.2023 00:00:00;
20;20644;700030;B80300;;31200;1600;ABSACKANLAGE;28.04.2023 00:00:00;28.04.2023 00:00:00;
20;20644;700030;B80300;;31200;-1600;ABSACKANLAGE;28.04.2023 00:00:00;28.04.2023 00:00:00;
20;20644;700030;B80300;;31200;2400;ABSACKANLAGE;02.05.2023 00:00:00;02.05.2023 00:00:00;
20;20644;700030;B80300;;31200;5600;ABSACKANLAGE;08.05.2023 00:00:00;08.05.2023 00:00:00;
20;20644;700030;B80300;;31200;17600;ABSACKANLAGE;13.04.2023 00:00:00;13.04.2023 00:00:00;
