Typ;Nr;Artikelnr;Artikelbez 1;Plangrp;Sollmenge;Istmenge;Kst Id;Beginn;Ende;
20;20644;700030;B80300;;32800;1600;ABSACKANLAGE;15.05.2023 00:00:00;15.05.2023 00:00:00;
20;20644;700030;B80300;;32800;1600;ABSACKANLAGE;20.04.2023 00:00:00;20.04.2023 00:00:00;
20;20644;700030;B80300;;32800;3200;ABSACKANLAGE;24.04.2023 00:00:00;24.04.2023 00:00:00;
20;20644;700030;B80300;;32800;800;ABSACKANLAGE;26.04.2023 00:00:00;26.04.2023 00:00:00;
20;20644;700030;B80300;;32800;1600;ABSACKANLAGE;28.04.2023 00:00:00;28.04.2023 00:00:00;
20;20644;700030;B80300;;32800;-1600;ABSACKANLAGE;28.04.2023 00:00:00;28.04.2023 00:00:00;
20;20644;700030;B80300;;32800;2400;ABSACKANLAGE;02.05.2023 00:00:00;02.05.2023 00:00:00;
20;20644;700030;B80300;;32800;5600;ABSACKANLAGE;08.05.2023 00:00:00;08.05.2023 00:00:00;
20;20644;700030;B80300;;32800;17600;ABSACKANLAGE;13.04.2023 00:00:00;13.04.2023 00:00:00;
